,group,child,parent
0,10,manipulation,influence
1,10,hypnotism,influence
2,10,exposure,influence
3,10,cross-pollination,influence
4,10,mind game,manipulation
5,10,enticement,manipulation
6,10,ingratiation,manipulation
7,10,solicitation,manipulation
8,10,leading astray,manipulation
9,10,impingement,manipulation
10,10,seduction,manipulation
11,10,blandishment,seduction
12,10,overexposure,exposure
13,10,underexposure,exposure
14,101,tent,shelter
15,101,hut,shelter
16,101,fallout shelter,shelter
17,101,storm cellar,shelter
18,101,safehold,shelter
19,101,refuge,shelter
20,101,dugout,shelter
21,101,haven,shelter
22,101,safe house,shelter
23,101,harbor,shelter
24,101,mantelet,shelter
25,101,praetorium,tent
26,101,sconce,shelter
27,101,loft,shelter
28,101,mudhif,shelter
29,101,igloo,shelter
30,101,wall tent,tent
31,101,lean-to tent,tent
32,101,pyramidal tent,tent
33,101,two-man tent,tent
34,101,tepee,tent
35,101,canvas tent,tent
36,101,circus tent,tent
37,101,cabana,tent
38,101,Sibley tent,tent
39,101,cottage tent,tent
40,101,bell tent,tent
41,101,fly tent,tent
42,101,field tent,tent
43,101,pup tent,tent
44,101,pop tent,tent
45,101,umbrella tent,tent
46,101,mountain tent,tent
47,101,tupik,tent
48,101,backpacking tent,tent
49,101,pavilion,tent
50,101,Nissen hut,hut
51,101,cookhouse,hut
52,101,hovel,hut
53,105,membranophone,percussion instrument
54,105,drum,membranophone
55,105,bass drum,drum
56,105,snare drum,drum
57,105,bongo,drum
58,105,tabor,drum
59,105,tenor drum,drum
60,105,kettle,drum
61,105,lagerphone,drum
62,105,idiophone,percussion instrument
63,105,steel drum,idiophone
64,105,gong,idiophone
65,105,bones,idiophone
66,105,maraca,idiophone
67,105,rain stick,idiophone
68,105,triangle,idiophone
69,105,cymbal,idiophone
70,105,high-hat cymbal,cymbal
71,105,zill,cymbal
72,105,bell,percussion instrument
73,105,handbell,bell
74,105,carillon,bell
75,105,chime,bell
76,105,keyboard percussion,percussion instrument
77,105,marimba,keyboard percussion
78,105,vibraphone,keyboard percussion
79,105,glockenspiel,keyboard percussion
80,105,frame drum,percussion instrument
81,105,tambour,frame drum
82,105,timbrel,frame drum
83,105,tambourine,frame drum
84,105,piano,percussion instrument
85,105,concert grand,piano
86,105,baby grand,piano
87,105,upright,piano
88,105,spinet,piano
89,105,grand piano,piano
