,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 2
2 --> 3[""Create Report""]
3 --> 4{""Expert responds in time?""}
4 --> |""Yes""|5[""Forward to referee""]
4 --> |""No""|6[""Ask for external expertise""]
6 --> 3
3 --> 7[""Fill out check to pay for external expert expenses""]
5 --> 7
7 --> 8[""EndNode""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Participate""]
1 --> 2{""Fees required?""}
2 --> |""No""| 3[""Register post-seminar results""]
2 --> |""Yes""| 4[""Create purchase request""]
4 --> 5{""Purchase approved?""}
5 --> |""Yes""| 6[""Send approval notification""]
5 --> |""No""| 7[""Notify rejection""]
7 --> 8[""EndNode""]
6 --> 3
3 --> 6
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept the item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
4 --> 5
3 --> 5
5 --> 6[""Fruit Categorization""]
6 --> 7[""Vegetable Categorization""]
7 --> 8[""Temperature Weight and Date Center for Vegetable Categorization""]
8 --> 9[""Milk""]
4 --> 9
7 --> 9
9 --> 10[""Temperature Weight and Date Center for Milk""]
10 --> 11[""Cheese""]
10 --> 11
11 --> 12[""Temperature Weight and Date Center for Cheese""]
12 --> 13[""Non-perishable""]
13 --> 14[""Temperature Weight and Date Center for Non-perishable""]
14 --> 15[""Perishable""]
15 --> 16[""Temperature Weight and Date Center for Perishable""]
16 --> 17[""Temperature Weight and Date Center for Perishable""]
16 --> 17
17 --> 18[""Store the items based on the item policy""]
18 --> 19[""EndNode""] 
"
3,"
graph LR
0[""StartNode""] --> 1{""Financial impact""}
1 --> |""YES""|2[""Open EMS""]
1 --> |""NO""|3[""End process""]
2 --> 4[""Contact Application Team""]
2 --> 5[""Contact SA Team""]
2 --> 6[""Get in touch with DBA Team""]
6 --> 7[""Open conference line""]
7 --> 8[""Troubleshoot issue""]
8 --> 9{""Resolution known""}
9 --> |""YES""|10[""Fix issue""]
9 --> |""NO""|11{""Check with vendor""}
10 --> 12[""Resolve EMS""]
11 --> 13{""Vendor has a fix""}
13 --> |""YES""|10[""Fix issue""]
13 --> |""NO""|14[""Failover to COB""]
10 --> 12
10 --> 15{""Vendor has a fix""}
15 --> |""YES""|10[""Fix issue""]
15 --> |""NO""|14
14 --> 12
12 --> 16[""EndNode""]
"
4,"
graph LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
1 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7{""Name form populated?""}
7 --> |""Yes""| 8[""Confirm event creation""]
7 --> |""No""| 9[""Save event information""]
8 --> 10[""Save event information""]
9 --> 11{""End time after start time?""}
11 --> |""Yes""| 12[""EndNode""]
11 --> |""No""| 13[""Incorrect time notification""]
13 --> 14[""Go back and populate time forms""]
"
5,"
graph LR
0[""Weekly payment due""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out invoices""]
6 --> 7[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3{""Purpose""}
3 --> |""Confirm Delivery""|4[""Delivery Order Confirmation"", direction=LR]
3 --> |""Replenish Inventory""|5[""Reserve Inventory""]
5 --> 4
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""Yes""|3[""Analyze RFQ""]
2 --> |""No""|4[""Ask for more information""]
3 --> 5[""Provide L&M cost estimates""]
5 --> 6{""Is RFQ verified?""}
6 --> |""Yes""|7[""Add overhead costs""]
6 --> |""No""|8[""Request clarification""]
7 --> 9[""Generate pricing options""]
7 --> 10[""Generate sales quote""]
8 --> 7
7 --> 9
9 --> 10
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2{""Data completeness?""}
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
subgraph loop
 4 --> 1
1 --> 2
end
3 --> 5[""Check reinsurance option""]
5 --> 6[""Finish contract""]
6 --> 7[""EndNode""]
"
9,"
graph LR
0[""Hungry""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
1 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare ingredients to make a sauce""]
7 --> 9[""Prepare ingredients to make a dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to the table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to the table""]
14 --> 15[""Finish lunch""]
"
