,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 3[""Create report""]
2 --> 3
5[""Ask for external expertise""] --> 6[""Does expert respond in time?""]
6 --> |""Yes""|7[""Forward report to referee""]
6 --> |""No""|5
7 --> 9[""Fill out check to pay for expenses""]
9 --> 10[""EndNode""]"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 6[""Purchase approved?""]
6 --> |""No""|7[""Notify rejection""]
6 --> |""Yes""|8[""Send approval notification""]
7 --> 5[""EndNode""]
8 --> 3"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept Item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
2 --> 6[""Fruit Categorization""]
6 --> 7[""Milk""]
6 --> 8[""Cheese""]
7 --> 9[""Non-perishable""]
7 --> 10[""Perishable""]
8 --> 9
8 --> 10
9 --> 12[""Temperature Weight and Date Center""]
10 --> 12
12 --> 13[""Store items based on item policy""]
13 --> 14[""EndNode""]"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2[""Financial Impact?""]
2 --> |""NO""|3[""EndNode""]
2 --> |""YES""|4[""Open EMS""]
4 --> 5[""Contact Application Team""]
4 --> 6[""Contact SA Team""]
4 --> 7[""Contact DBA Team""]
5 --> 8[""Open Conference Line""]
6 --> 8
7 --> 8
8 --> 9[""Troubleshoot Issue""]
11[""Resolution Known?""] --> |""YES""|12[""Fix Issue""]
11 --> |""NO""|13[""Check with Vendor""]
12 --> 14[""Resolve and Close EMS""]
13 --> 16[""Vendor has Fix?""]
14 --> 15[""EndNode""]
16 --> |""NO""|17[""Failover to COB""]
16 --> |""YES""|12"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Is name form populated?""]
8 --> |""No""|2
8 --> |""Yes""|9[""Does end time occur after start time?""]
9 --> |""No""|10[""Display incorrect time notification""]
9 --> |""Yes""|11[""Save event information""]
10 --> 12[""Go back to populate time forms""]
12 --> 3"
5,"flowchart LR
1[""Pay invoices""] --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
5[""Generate monthly invoices""] --> 6[""Send out invoices""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select warehouse""]
2 --> 3[""Reserve inventory""]
3 --> 4[""Purpose of order""]
4 --> |""Confirm order for delivery""|6[""Confirm order for delivery""]
6 --> 7[""EndNode""]"
7,"flowchart LR
0[""StartNode""] --> 1[""RFQ verified?""]
1 --> |""No""|2[""Ask for more information""]
1 --> |""Yes""|5[""Add overhead costs and generate pricing options""]
2 --> 1
4[""Provide clarification""] --> 1
6[""Generate sales quote""] --> 7[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
2[""Data complete?""] --> |""No""|3[""Send failure notice""]
2 --> |""Yes""|4[""Perform risk assessment""]
2 --> |""Yes""|5[""Check reinsurance option""]
5 --> 6[""Finish contract""]
6 --> 7[""EndNode""]"
9,"flowchart LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare ingredients for sauce""]
7 --> 9[""Prepare ingredients for dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]"
10,"flowchart LR
0[""StartNode""] --> 1[""Customer encounters a problem""]
1 --> 2[""Obtain detailed description of the problem""]
2 --> 3[""Can handle problem myself?""]
3 --> |""Yes""|4[""Explain solution""]
3 --> |""No""|5[""Send email to support system""]
4 --> 7[""EndNode""]
5 --> 3
5 --> 6[""Wait for answer from support system""]
6 --> 4"
11,"flowchart LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send invoice""]
1 --> 3[""Send goods""]
2 --> 4[""EndNode""]
3 --> 4"
12,"flowchart LR
0[""StartNode""] --> 1[""Prepare shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3[""Carrier response""]
3 --> |""yes""|5[""Accept shipment order""]
3 --> |""yes""|6[""Ordered shipment realized""]
5 --> 3
6 --> 7[""EndNode""]"
13,"flowchart LR
0[""StartNode""] --> 1[""Order received""]
2[""Invoice created""] --> 4[""Invoice sent""]
4 --> 6[""Payment confirmed""]
6 --> 7[""EndNode""]"
14,"flowchart LR
0[""StartNode""] --> 1[""Can fulfill order?""]
1 --> |""Yes""|2[""Confirm order""]
1 --> |""No""|3[""Reject order""]
2 --> 4[""Deliver order""]
3 --> 1
3 --> 5[""Notify order rejected""]
4 --> 6[""Notify order delivered""]"
15,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2[""Verification successful?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
3 --> 1
4 --> 1
8[""Generate sales quote""] --> 9[""EndNode""]"
16,"flowchart LR
0[""StartNode""] --> 1[""Check Customer's Credit History""]
0 --> 2[""Conduct a Property Survey""]
0 --> 3[""Search the Property Title""]
1 --> 4[""EndNode""]
2 --> 4
3 --> 4"
17,"flowchart LR
0[""StartNode""] --> 1[""Change status""]
1 --> 2[""Is product on sale?""]
2 --> |""Yes""|3[""Product marked as on sale""]
2 --> |""No""|4[""Product marked as not on sale""]
2 --> 2
3 --> 5[""EndNode""]
4 --> 5"
18,"flowchart LR
0[""StartNode""] --> 1[""Identify invoice errors""]
0 --> 2[""Highlight errors on entry form""]
0 --> 3[""Update record of mistakes""]
1 --> 4[""Send invoice back""]
2 --> 4
3 --> 4
4 --> 5[""EndNode""]"
19,"flowchart LR
0[""StartNode""] --> 1[""Run invoice payment process for SSP""]
1 --> 2[""Pay attention to SAP system""]
3[""Send payment report to Accounts Receivable""] --> 6[""Generate monthly invoices for clients""]
5[""Generate invoice payment report""] --> 8[""Send payment report to Registry""]
6 --> 9[""Charge clients""]
7[""Send payment report to Client""] --> 10[""EndNode""]
8 --> 10
9 --> 10"
20,"flowchart LR
0[""StartNode""] --> 1[""Check Completeness""]
1 --> 2[""Verify Credit History""]
2 --> 3[""Examine Loan Request""]
3 --> 4[""Check Result?""]
4 --> |""Rejection""|5[""Customer Request Rejected""]
4 --> |""Acceptance""|6[""Customer Request Approved""]
5 --> 7[""EndNode""]
6 --> 7"
21,"flowchart LR
0[""StartNode""] --> 1[""Extract work orders""]
0 --> 2[""Extract notifications""]
1 --> 4[""Load work orders""]
2 --> 5[""Load notifications""]
4 --> 7[""Pull work order report""]
5 --> 9[""Pull notification report""]
6[""Load inspection orders""] --> 8[""Pull inspection order report""]
7 --> 10[""Link reports from PPT""]
8 --> 10
9 --> 10
10 --> 11[""Create and send email""]
11 --> 12[""WHISKY""]"
22,"flowchart LR
0[""StartNode""] --> 1[""Plan the menu""]
0 --> 2[""Prepare the chicken""]
0 --> 3[""Make the salad""]
2 --> 4[""Refine the chicken""]"
23,"flowchart LR
0[""StartNode""] --> 1[""Write a letter""]
1 --> 2[""Obtain the letter""]
2 --> 3[""Is member?""]
3 --> |""No""|4[""EndNode""]
3 --> |""Yes""|5[""Obtain a second letter""]
5 --> 3
6[""Pay the fee""] --> 7[""Receive a card""]"
24,"flowchart LR
0[""Feel hungry""] --> 1[""Have dinner""]
1 --> 2[""Have a salad""]
1 --> 3[""Enjoy some ice-cream""]
1 --> 4[""Savor a plate of pasta""]
2 --> 5[""Feel satisfied""]
3 --> 5
4 --> 5"
