,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2[""File results and expertise""]
2 --> 3[""Create report""]
3 --> 4{""Check expert response?""}
4 -->|Yes| 5[""Forward to referee""]
4 -->|No| 6[""Ask for external expertise""]
5 --> 7[""Fill out check""]
7 --> 8[""EndNode""]
6 --> 8
"
1,"
graph LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2{""Fees required?""}
2 --> |""No""| 5[""Register post-seminar results""]
2 --> |""Yes""| 3[""Create Purchase Request""]
3 --> 4{""Purchase approved?""}
4 --> |""No""| 6[""Notify Rejection""]
4 --> |""Yes""| 7[""Send Approval Notification""]
6 --> 8[""EndNode""]
7 --> 5
5 --> 8
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Join1""]
3 --> 5
4 --> 5
5 --> 6[""Fruits""]
6 --> 7[""Fruit Categorization""]
5 --> 8[""Vegetable""]
8 --> 9[""Vegetable Categorization""]
7 --> 10[""Join2""]
9 --> 10
10 --> 11[""Milk""]
10 --> 12[""Cheese""]
10 --> 13[""Non-perishable""]
10 --> 14[""Perishable""]
11 --> 15[""Join3""]
12 --> 15
13 --> 15
14 --> 15
15 --> 16[""Fork for Temperature Steps""]
16 --> 17[""Temperature (Fruits)""]
16 --> 18[""Temperature (Fruit Categorization)""]
16 --> 19[""Temperature (Vegetable Categorization)""]
16 --> 20[""Temperature (Milk)""]
16 --> 21[""Temperature (Cheese)""]
16 --> 22[""Temperature (Non-perishable)""]
16 --> 23[""Temperature (Perishable)""]
17 --> 24[""Join4""]
18 --> 24
19 --> 24
20 --> 24
21 --> 24
22 --> 24
23 --> 24
24 --> 25[""Store items based on policy""]
25 --> 26[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2{""Check Financial Impact?""}
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""EndNode""]

3 --> 5[""ForkNode""]
5 --> 6[""Contact Application Team""]
5 --> 7[""Contact SA Team""]
5 --> 8[""Contact DBA Team""]
5 --> 9[""Open Conference Line""]
6 --> 10[""JoinNode""]
7 --> 10
8 --> 10
9 --> 10

10 --> 11[""Troubleshoot Issue""]
10 --> 12{""Check Resolution Known?""}

12 --> |""YES""|13[""Fix Issue""]
12 --> |""NO""|14{""Check Vendor Fix?""}

14 --> |""YES""|13
14 --> |""NO""|15[""Failover to COB""]

13 --> 16[""Resolve and Close EMS""]
15 --> 16
16 --> 17[""EndNode""]

11 --> 10
"
4,"
graph LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
2 --> 7{""Check name form populated?""}
3 --> 4[""Populate location forms""]
3 --> 8{""Check end time after start?""}
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7
7 --> |Yes| 8
7 --> |No| 2
8 --> |Yes| 9[""Save event information""]
8 --> |No| 3
9 --> 10[""Save on Facebook""]
10 --> 11[""EndNode""]
"
5,"
graph LR
0[""StartNode""] --> 1[""Weekly process initiation (in time for discounts)""]
1 --> 2[""Pay invoices (fully automated)""]
2 --> 3[""Generate payment report""]
3 --> 4[""Send to Accounts Receivable""]
3 --> 5[""Send to registry""]
3 --> 6[""Generate monthly invoices (charge $35 per invoice)""]
4 --> 7[""Send out invoices""]
5 --> 7
6 --> 7
7 --> 8[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select warehouse""]
2 --> 3{""Purpose?""}
3 --> |""Replenish Inventory""|4[""Reserve inventory""]
3 --> |""Confirm Delivery""|5[""EndNode""]
4 --> 5
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""Is RFQ verified?""}
2 --> |""No""|3[""Ask for more information""]
3 --> 1
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 5{""Is more information needed?""}
5 --> |""Yes""|6[""Ask for more information""]
6 --> 7[""Provide clarification""]
7 --> 1
5 --> |""No""|8[""Add overhead costs""]
8 --> 9[""Generate pricing options""]
9 --> 10[""Generate sales quote""]
10 --> 11[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2{""Check completeness""}
2 --> |""No""|3[""Send failure notice""]
3 --> 4[""EndNode""]
2 --> |""Yes""|5[""Perform risk assessment""]
5 --> 6{""Check completeness again""}
6 --> |""No""|3
6 --> |""Yes""|7[""Check reinsurance option""]
7 --> 8[""Finish contract""]
8 --> 4
"
9,"
graph LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 6[""Prepare salad for washing""]
5 --> 7[""Put the pasta into the water""]
7 --> 8[""Prepare the ingredients to make a sauce""]
8 --> 9[""Make the sauce""]
6 --> 10[""Wash the salad""]
10 --> 11[""Prepare the ingredients to make a dressing""]
11 --> 12[""Make the dressing""]
9 --> 13[""Bring the dishes to the table""]
12 --> 13
13 --> 14[""Prepare the dishes""]
14 --> 15[""Bring the meal to the table""]
15 --> 16[""Finish lunch""]
16 --> 17[""EndNode""]
"
