,0
0,"This question asks the number of objects with the same shape and material as the gray object but not the gray object itself. To answer this question, we first need to find the gray object and then identify all objects with the same shape and material as it, but not the gray object itself.
1. Find the gray object. We expect it to be unique: scene --> filter_color_gray --> unique
2. Find all objects with the same shape and same material but not the gray object: result from step 1 --> same_shape && result from step 1 -> same_material && Not result from step 1
3. Count its number: result from step 2 --> count

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""same_shape""]
    4 --> 5[""not""]
    2 --> 5
    5 --> 6[""And""]
    6 --> 7[""count""]
```"
1,"This question is asking for the number of shiny things that are both behind the big cyan block and on the left side of the gray block. Since 'shiny' is not a valid material attribute in the scene, it is inferred as metal.

To answer this question, we need to:
1. Find the large cyan object. We expect this large cyan object to be unique: scene --> filter_size_large --> filter_color_cyan --> unique
2. Find the gray object. We expect this gray object to be unique: scene --> filter_color_gray --> unique
3. Find objects on the left side of the gray object and behind the large cyan object: result from step 1 --> relate_behind; result from step 2 --> relate_left; AND the two results
4. Filter the result to find the shiny things: result from 3 --> filter_material_metal
5. Count the number of shiny things: result from 4 --> count

```mermaid
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    1 --> 5[""filter_color_gray""]
    5 --> 6[""unique""]
    6 --> 7[""relate_left""]
    4 --> 8[""relate_behind""]
    7 --> 9[""and""]
    8 --> 9
    9 --> 10[""filter_material_metal""]
    10 --> 11[""count""]
```"
2,"This question asks for the number of small balls that have the same color as the small matte object. To answer this question, we need to first find the small matte object and then identify all small balls with the same color as it.
1. Find the small matte object. We expect this object uniquely to be in the scene: scene --> filter_size_small --> filter_material_matte --> unique
2. Find all small balls with the same color as this small matte object: result from step 1 --> same_color
3. Count its number: result from step 2 --> count

```mermaid
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_matte""]
    3 --> 4[""unique""]
    4 --> 5[""relate""]
    1 --> 6[""filter_size_small""]
    6 --> 7[""filter_shape_sphere""]
    2 --> 8[""same_color""]
    8 --> 9[""count""]
```"
3,"This question asks the number of objects that are either red rubber cylinders or metallic cylinders and on the right side of the green cylinder. To answer this question, we need to first identify the green cylinder, then find the objects that are red rubber cylinders or metallic cylinders and on the right side of the green cylinder.
1. Find the green cylinder. We expect it to be unique: scene --> filter_color_green --> filter_shape_cube --> unique
2. Find the objects that are on the right side of the green cylinder: result from step 1 --> relate_right
3. Find the red rubber cylinders that are on the right side of the green cylinder: result from step 2 --> filter_color_red --> filter_material_rubber
4. Find the metallic cylinders that are on the right side of the green cylinder: result from step 2 --> filter_material_metal --> filter_shape_cylinder
5. Take the union of the objects found in step 3 and step 4: result from step 3 --> OR --> result from step 4
6. Count the number of objects in the result from step 5: result from step 5 --> count

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cube""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 6[""filter_color_red""]
    6 --> 7[""filter_material_rubber""]
    5 --> 8[""filter_material_metal""]
    8 --> 9[""filter_shape_cylinder""]
    7 --> 10[""Or""]
    9 --> 10
    10 --> 11[""count""]
```"
4,"This question asks the number of large objects that are right of the large matte cylinder and in front of the cylinder that is left of the brown cylinder. To answer this question, we need to:
1. Find the brown cylinder. We expect it to be unique: scene --> filter_color_brown --> filter_shape_cylinder --> unique
2. Find the large matte cylinder: scene --> filter_material_metal --> filter_shape_cylinder --> filter_size_large --> unique
3. Identify the cylinder that is left of the brown cylinder: result from step 1 --> relate_left --> filter_shape_cylinder --> unique
4. Find the large cylinder in front of this cylinder: result from step 3 --> relate_in_front --> filter_shape_cylinder --> filter_size_large --> unique
5. Find all objects to the right of this cylinder: result from step 4 --> relate_right
6. Count the number of large objects: result from step 5 --> filter_size_large --> count

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    1 --> 5[""filter_material_metal""]
    1 --> 6[""filter_shape_cylinder""]
    5 --> 6
    6 --> 7[""filter_size_large""]
    7 --> 8[""unique""]
    4 --> 9[""relate_left""]
    9 --> 10[""filter_shape_cylinder""]
    10 --> 11[""unique""]
    8 --> 12[""relate_in_front""]
    12 --> 13[""filter_shape_cylinder""]
    13 --> 14[""filter_size_large""]
    14 --> 15[""unique""]
    11 --> 16[""relate_right""]
    16 --> 17[""filter_size_large""]
    17 --> 18[""count""]
```"
5,"This question asks whether the matte object behind the cube has the same size as the brown shiny cylinder. To answer this question, we need to:
1. Find the brown shiny cylinder: scene --> filter_color_brown --> unique
2. Find the matte object. We expect matte is same as material is rubber in this context: scene --> filter_material_rubber --> unique
3. Identify the objects behind the cube: scene --> relate_behind
4. Add the cube(As the cylinder is big we should see which of these object would be small object in the set, the cube) we discovered previously to the result of step 3: result from step 3 AND scene --> filter_shape_cube --> unique
5. Find the objects with the same size as the brown shiny object (result from step 1) from the objects in step 4: result from step 4 --> same_size
6. Check its equal size with the brown shiny cylinder: result from step 5 --> equal_size

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""unique""]
    5 --> 6[""relate_behind""]
    1 --> 7[""filter_shape_cube""]
    7 --> 8[""unique""]
    8 --> 9[""and""]
    6 --> 9
    9 --> 10[""filter_shape_cube""]
    10 --> 11[""unique""]
    11 --> 12[""same_size""]
    12 --> 13[""equal_size""]
    5 --> 13
```"
6,"This question is asking whether the color of the rubber object on the right of the large blue block is the same as the color of the tiny object. To answer this question, we need to:
1. Find the large blue rubber block: scene --> filter_color_blue --> filter_material_rubber --> filter_size_large --> unique
2. Identify the object on the right of this block: result from step 1 --> relate_right --> filter_material_rubber --> unique
3. Query the color of this object: result from step 2 --> query_color
4. Find the small object: scene --> size small 
5. Query the color of this small object: result from step 4 --> query_color
6. Compare the colors of the two objects: result from step 3 is equal result from step 5

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_blue""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_size_large""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    1 --> 7[""filter_size_small""]
    7 --> 8[""unique""]
    8 --> 9[""query_color""]
    6 --> 10[""filter_material_rubber""]
    10 --> 11[""unique""]
    11 --> 12[""query_color""]
    12 --> 13[""equal""]
    9 --> 13
    12 --> 13
```"
7,"This question asks whether the tiny thing to the right of the matte cylinder has the same shape as the big blue thing. To answer this question, we need to:
1. Find the matte cylinder. We expect this cylinder to be unique: scene --> filter_material_metal --> filter_shape_cylinder --> unique
2. Find the tiny thing, which is actually the small thing as input 'tiny' is replacing 'small', and it is to the right of matte cylinder: result from step 1 --> relate_right --> filter_size_small
3. Find the big blue thin. We expect this blue thing to be unique: scene --> filter_color_blue --> filter_size_large --> unique
4. Compare their shapes: result from step 2 --> equal_shape and result from step 3 

```mermaid
graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    1 --> 6[""filter_size_small""]
    5 --> 6
    6 --> 7[""filter_color_blue""]
    7 --> 8[""filter_size_large""]
    8 --> 9[""unique""]
    6 --> 10[""equal_shape""]
    9 --> 10
```"
8,"This question is asking about whether there is a tiny metal object that is right of the gray object and whether it is the same color as the matte cube. To answer this question, we need to first find the tiny metal object that is on the right of the gray object and then check whether it is the same as the matte cube.
1. Find the gray object. We expect it to be unique: scene --> filter_color_gray --> unique
2. Find the tiny metal object that is on the right of the gray object: relate_right; filter_size_small; filter_material_metal (this is for specific local tiny object); unique:  result from 1--> relate_right --> filter_size_small --> filter_material_metal --> unique
3. Find the matte cube. We expect it to be unique: scene --> filter_material_metal --> filter_shape_cube --> unique
4. Check whether the two objects are the same color: not equal_color between result from 2 and result from 3

```mermaid
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    1 --> 5[""filter_color_gray""]
    5 --> 6[""unique""]
    4 --> 7[""filter_size_small""]
    7 --> 8[""filter_material_metal""]
    8 --> 9[""unique""]
    9 --> 10[""equal_color""]
    6 --> 10
```"
9,"This question is asking whether the number of tiny brown metal balls is less than the number of shiny things. To answer this question, we need to:
1. Find the tiny brown metal balls. 
   - We expect small and brown and metal balls can be categorized as tiny and brown metal balls: scene --> filter_size_small --> filter_color_brown --> filter_material_metal --> filter_shape_sphere
   - Count them: filter_shape_sphere --> count 
2. Find the shiny things. Shiny things could be the objects with material being rubber or metal, but sphere, cylinder, or cube, and not missing color value which later on should not be ""not gray"". 
   - Count the set of shiny objects: scene --> filter_material_rubber --> OR like wise no metal --> filter_color_not_gray --> count
3. Compare the count of tiny brown metal balls is less_than number of shiny things.

```mermaid
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""filter_shape_sphere""]
    5 --> 6[""count""]
    1 --> 7[""filter_material_rubber""]
    7 --> 8[""OR""]
    1 --> 9[""filter_material_metal""]
    1 --> 10[""OR""]
    7 --> 10
    10 --> 11[""filter_color_not_gray""]
    11 --> 12[""count""]
    6 --> 13[""less_than""]
    12 --> 13
```"
