,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 2
2 --> 3[""Create report""]
3 --> 13[""Report creation ready""]
5[""Check if expert responds in time""] --> |""Yes""|6[""Forward to referee""]
5 --> |""No""|7[""Ask for external expertise""]
6 --> 8[""Fill out check to pay for expenses""]
7 --> 5
8 --> 9[""EndNode""]
13 --> |""Yes""|6
13 --> |""No""|7"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5[""Purchase approved?""]
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
6 --> 8[""EndNode""]
7 --> 9[""Register post-seminar results""]
9 --> 8"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept Item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
3 --> 5
4 --> 7[""Vegetable Categorization""]
5 --> 8[""Temperature Weight and Date Center""]
5 --> 6[""Fruit Categorization""]
6 --> 8
7 --> 10[""Cheese""]
8 --> 9[""Milk""]
8 --> 10
8 --> 13[""Store Items""]
9 --> 11[""Non-perishable""]
10 --> 11
11 --> 12[""Perishable""]
12 --> 8
13 --> 14[""EndNode""]"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 3[""Financial impact?""]
3 --> |""YES""|4[""Open EMS""]
3 --> |""NO""|5[""End process""]
4 --> 6[""Contact Application Team""]
4 --> 7[""Contact SA Team""]
4 --> 8[""Contact DBA Team""]
6 --> 9[""Open conference line""]
7 --> 9
8 --> 9
9 --> 10[""Troubleshoot issue""]
10 --> 11[""Contact DBA Team""]
11 --> 12[""resolution is known?""]
12 --> |""YES""|13[""Fix issue""]
12 --> |""NO""|14[""Check with vendor""]
13 --> 15[""Resolve and close EMS""]
14 --> 15
15 --> 16[""Failover to COB""]
16 --> 17[""Fix issue""]
17 --> 18[""Check with vendor""]
18 --> |""YES""|19[""Fix issue""]
18 --> |""NO""|20[""Failover to COB""]
20 --> 15"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 10[""Populate name form""]
3[""Populate time forms""] --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 11[""End time after start time?""]
10 --> 3
11 --> |""Yes""|12[""Save event information""]
11 --> |""No""|13[""Display incorrect time notification""]
12 --> 14[""Pay attention to event saved on Facebook""]
13 --> 15[""Populate time forms again""]
14 --> 18[""EndNode""]
15 --> 11"
5,"flowchart LR
0[""Weekly in time for discounts""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
3 --> 4[""Send payment report to registry""]
3 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out invoices""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3[""Reserve Inventory""]
3 --> 4[""Purpose is replenish the inventory?""]
4 --> |""Yes""|3
4 --> |""Confirm order for delivery""|6[""EndNode""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2[""RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
4 --> 5[""Provide L&M cost estimates""]
5 --> 6[""Check if RFQ is verified""]
6 --> |""No""|3
6 --> |""Yes""|7[""Provide clarification""]
7 --> 8[""Add overhead costs""]
8 --> 9[""Generate pricing options""]
9 --> 10[""Generate sales quote""]
10 --> 11[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Data complete?""]
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
3 --> 5[""Check reinsurance option""]
4 --> 7[""EndNode""]
5 --> 6[""Finish contract""]
6 --> 7"
9,"flowchart LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 7[""Prepare salad for washing""]
5 --> 6[""Put pasta in water""]
6 --> 9[""Prepare ingredients to make sauce""]
7 --> 8[""Wash salad""]
8 --> 11[""Prepare ingredients to make dressing""]
9 --> 10[""Make sauce""]
10 --> 13[""Bring dishes to table""]
11 --> 10
13 --> 14[""Prepare dishes""]
14 --> 15[""Bring meal to table""]
15 --> 16[""Finish lunch""]
16 --> 17[""EndNode""]"
10,"flowchart LR
0[""StartNode""] --> 1[""Obtain problem description""]
1 --> 2[""Can handle problem?""]
2 --> |""Yes""|3[""Explain solution""]
2 --> |""No""|4[""Send email to support system""]
3 --> 5[""EndNode""]
4 --> 6[""Can handle problem?""]
6 --> |""Yes""|3
6 --> |""No""|7[""Wait for answer from support system""]
7 --> 5"
11,"flowchart LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send the invoice""]
1 --> 3[""Send the goods""]
2 --> 4[""EndNode""]
3 --> 4"
12,"flowchart LR
0[""StartNode""] --> 1[""Prepare shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3[""Carrier response?""]
3 --> |""The answer was positive""|4[""Accept shipment order""]
3 --> |""yes""|6[""Carrier response?""]
6 --> |""no""|5[""Acquisition of carriers""]
6 --> |""Yes""|10[""Realization of the ordered shipment""]
10 --> 8[""EndNode""]"
13,"flowchart LR
0[""StartNode""] --> 1[""Order received""]
1 --> 2[""Create invoice""]
1 --> 3[""Prepare shipping""]
2 --> 5[""Send invoice""]
3 --> 4[""Ship item""]
5 --> 6[""Payment confirmed""]
6 --> 7[""EndNode""]"
14,"flowchart LR
0[""StartNode""] --> 1[""Can we fulfill the order?""]
1 --> |""No""|3[""Reject the order""]
1 --> |""Yes""|6[""Confirm the order""]
4[""Check if we can fulfill the order""] --> 5[""Can we fulfill the order?""]
5 --> |""Yes""|6
5 --> |""No""|7[""Reject the order""]
6 --> 8[""Deliver the order""]
6 --> 4
7 --> 12[""Notify order rejected""]
8 --> 11[""Notify that the order has been successfully delivered""]"
15,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2[""Verification is successful?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
4 --> 5[""Provide L&M cost estimates""]
5 --> 6[""Verify RFQ""]
6 --> |""Yes""|7[""Add overhead cost""]
6 --> |""No""|3
7 --> 8[""Generate pricing options""]
8 --> 2"
16,"flowchart LR
0[""StartNode""] --> 1[""Check the Customer's Credit History""]
0 --> 2[""Conduct a Property Survey""]
0 --> 3[""Search the Property Title""]
1 --> 4[""Credit History File""]
2 --> 5[""Survey Document""]
3 --> 6[""EndNode""]
4 --> 6
5 --> 6"
17,"flowchart LR
0[""StartNode""] --> 1[""Change status""]
1 --> 2[""Is product on sale?""]
2 --> |""Yes""|3[""Product is on sale""]
2 --> |""No""|4[""Is product on sale?""]
3 --> 6[""Product is not on sale""]
4 --> |""Yes""|5[""Product is on sale""]
4 --> |""No""|6
6 --> 7[""EndNode""]"
18,"flowchart LR
0[""StartNode""] --> 1[""Identify invoice errors""]
1 --> 3[""Update record of mistakes""]
1 --> 2[""Highlight errors on entry form""]
2 --> 4[""Send invoice back""]
3 --> 4
4 --> 5[""Conclude process""]"
19,"flowchart LR
0[""StartNode""] --> 1[""Run the invoice payment process for SSP""]
1 --> 2[""Generate the invoice payment report""]
1 --> 3[""Send payment report to Accounts Receivable""]
2 --> 10[""Run invoice payment process""]
3 --> 5[""Send payment report to Client""]
3 --> 6[""Send payment report to Registry""]
4[""Generate monthly invoices for clients""] --> 7[""Charge clients""]
6 --> 8[""EndNode""]
7 --> 8
10 --> 4"
20,"flowchart LR
0[""StartNode""] --> 1[""Check completeness""]
1 --> 2[""Verify credit history""]
2 --> 4[""Examine loan request""]
3[""Check Result?""] --> |""No""|6[""Reject customer request""]
3 --> |""Yes""|5[""Approve customer request""]
4 --> 3
5 --> 7[""EndNode""]
6 --> 7"
21,"flowchart LR
0[""StartNode""] --> 1[""Extract work orders""]
0 --> 3[""Extract notifications""]
1 --> 4[""Load work orders""]
2[""Extract Inspection Orders""] --> 6[""Load inspection orders""]
3 --> 5[""Load notifications""]
4 --> 7[""Pull together work order report""]
4 --> 2
5 --> 9[""Pull together notification report""]
6 --> 8[""Pull together inspection order report""]
8 --> 10[""Link reports from PPT""]
9 --> 10
10 --> 11[""Create and send email""]
11 --> 12[""WHISKY""]"
22,"flowchart LR
0[""StartNode""] --> 1[""Plan the menu""]
1 --> 2[""Prepare the chicken""]
1 --> 3[""Make the salad""]
2 --> 4[""Refine the chicken""]
3 --> 5[""Serve the menu""]
4 --> 5
5 --> 6[""EndNode""]"
23,"flowchart LR
0[""StartNode""] --> 1[""Write a letter""]
1 --> 2[""Obtain a letter""]
2 --> 3[""Are you a member?""]
3 --> |""No""|4[""EndNode""]
3 --> |""Yes""|5[""Check if member""]
5 --> 7[""Obtain second letter""]
7 --> 8[""Pay the fee""]
8 --> 9[""Receive a card""]
9 --> 10[""EndNode""]"
24,"flowchart LR
0[""StartNode""] --> 1[""Feel hungry""]
1 --> 2[""Have dinner""]
2 --> 3[""Have a salad""]
2 --> 4[""Enjoy some ice-cream""]
2 --> 5[""Savor a plate of pasta""]
5 --> 6[""Feel satisfied""]
6 --> 7[""EndNode""]"
25,"flowchart LR
0[""Start SSP process at 11am""] --> 1[""Empty SAP Master Record Outbox""]
0 --> 2[""Deliver requests to Master Data Entry Department""]
1 --> 3[""Empty Master Data Entry Outbox""]
2 --> 4[""Receive Vendor Master Record Requests Form""]
3 --> 4
4 --> 6[""Process Vendor Master Record Requests""]
6 --> 7[""Place completed requests in Data Entry Officer Inbox""]
7 --> 9[""EndNode""]
10[""StartNode""] --> 0"
26,"flowchart LR
0[""StartNode""] --> 1[""Register event participation""]
1 --> 2[""Register process seminar results""]
1 --> 3[""Create a purchase request""]
2 --> 4[""EndNode""]
3 --> 5[""purchase request approve?""]
5 --> |""Rejected""|6[""Notify rejection""]
5 --> |""Approved""|7[""Send approved notification""]
6 --> 8[""EndNode""]
7 --> 2
7 --> 9[""Purchase request approve?""]
9 --> |""Rejected""|6
9 --> |""Approved""|10[""Send approved notification""]
10 --> 2"
27,"flowchart LR
0[""StartNode""] --> 1[""Place an order""]
1 --> 2[""Verify customer""]
2 --> 3[""Customer okay?""]
3 --> |""Yes""|4[""Check availability""]
3 --> |""No""|5[""Create new customer""]
4 --> 6[""Product available?""]
5 --> 9[""EndNode""]
6 --> |""No""|7[""Produce goods""]
6 --> |""Yes""|8[""Ship goods""]
7 --> 9
8 --> 9"
28,"flowchart LR
0[""StartNode""] --> 1[""Move to square (2,5)""]
1 --> 2[""Wait for a message""]
2 --> 3[""Response from all players received?""]
3 --> |""No""|2
3 --> |""Yes""|4[""EndNode""]"
29,"flowchart LR
0[""StartNode""] --> 1[""Obtain credit score""]
0 --> 2[""Get credit score""]
0 --> 3[""Check credit score""]
1 --> 4[""Check income to payment ratio""]
2 --> 4
3 --> 4
4 --> 5[""Assess credit risk""]
5 --> 6[""Process concludes""]"
30,"flowchart LR
0[""StartNode""] --> 1[""Receive payment from previous week""]
1 --> 5[""Customer payment received?""]
5 --> |""No""|6[""Document bad credit""]
5 --> |""Yes""|7[""Update members and accounts receivable file""]
7 --> 8[""Process order""]
8 --> 5
8 --> 10[""Suspend future order processing""]
10 --> 11[""Complete credit check""]
11 --> 12[""Inform members about bad credit status""]
12 --> 10"
31,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
0 --> 10[""Verify RFQ""]
1 --> 2[""RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ""]
4 --> 5[""Provide L&M cost estimates""]
4 --> 9[""Provide verification""]
5 --> 6[""Verify RFQ""]
6 --> 2
7[""Add overhead costs""] --> 8[""Generate pricing options""]
8 --> 11[""Generate sales quote""]
9 --> 7
10 --> 2
10 --> |""Yes""|11
10 --> |""No""|3
11 --> 12[""EndNode""]"
32,"flowchart LR
0[""StartNode""] --> 1[""Bring computer to ACM""]
1 --> 2[""Describe computer problem""]
2 --> 3[""Receive estimate""]
3 --> 12[""Evaluate estimate""]
5[""Authorize repair""] --> 13[""Receive repair notice""]
8[""Receive invoice and P/S document""] --> 9[""Send payment""]
9 --> 11[""EndNode""]
12 --> |""Yes""|5
12 --> |""No""|6[""Take computer back""]
13 --> 8"
33,"flowchart LR
0[""StartNode""] --> 1[""Analyze Goal Model""]
1 --> 2[""Analyze Business Process Models""]
2 --> 6[""Goals Satisfied?""]
4[""Update""] --> 5[""Check Activities Correspond to Goal""]
5 --> 6
6 --> |""No""|4
6 --> |""Yes""|7[""Update and Analyze again""]
7 --> 1"
