,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2[""File Results and Expertise""]
2 --> 3[""Create Report""]
3 --> 4{""Check if Expert Responds in Time?""}
4 --> |""Yes""|5[""Forward Report to Referee""]
5 --> 6[""Ask for External Expertise""]
6 --> 7[""Fill Out Check to Pay""]
7 --> 8[""EndNode""]

4 --> |""No""|6
2 --> 6
6 --> 7
"
1,"
graph LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2{""Are Fees Required?""}
2 --> |""No""| 3[""Register Post-Seminar Results""]
2 --> |""Yes""| 4[""Create Purchase Request""]
4 --> 5{""Is Purchase Approved?""}
5 --> |""No""| 6[""Notify Rejection""]
5 --> |""Yes""| 7[""Send Approval Notification""]
6 --> 8[""EndNode""]
3 --> 8
7 --> 3
"
2,"
graph LR
0[""StartNode""] --> 1[""Accept Item""]
1 --> 2[""Fork1""]
2 --> 3[""Dairy""]
2 --> 4[""Other""]
2 --> 5[""Vegetable""]
3 --> 6[""Join1""]
4 --> 6
5 --> 6
6 --> 7[""Fruits""]
7 --> 8[""Fruit Categorization""]
8 --> 9[""Fork2""]
9 --> 10[""Milk""]
9 --> 11[""Cheese""]
10 --> 12[""Join2""]
11 --> 12
8 --> 13[""Fork3""]
13 --> 14[""Non-perishable""]
13 --> 15[""Perishable""]
14 --> 16[""Join3""]
15 --> 16
12 --> 16
16 --> 17[""Fork4""]
17 --> 18[""Fruits + TWDC""]
17 --> 19[""Fruit Categorization + TWDC""]
17 --> 20[""Vegetable + TWDC""]
17 --> 21[""Vegetable Categorization + TWDC""]
17 --> 22[""Milk + TWDC""]
17 --> 23[""Cheese + TWDC""]
17 --> 24[""Non-perishable + TWDC""]
17 --> 25[""Perishable + TWDC""]
18 --> 26[""Join4""]
19 --> 26
20 --> 26
21 --> 26
22 --> 26
23 --> 26
24 --> 26
25 --> 26
26 --> 27[""Store items based on policy""]
27 --> 28[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2{""Financial Impact?""}
2 --> |""No""| 14[""EndNode""]

2 --> |""Yes""| 3[""Open EMS""]
3 --> 4[""Contact Application Team""]
4 --> 5[""Contact SA Team""]
5 --> 6[""Contact DBA Team""]
6 --> 7[""Open Conference Line""]

7 --> 8[""ForkNode""]
8 --> 9[""Troubleshoot the issue""]
8 --> 10{""Resolution Known?""}

10 --> |""Yes""| 11[""Fix issue""]
10 --> |""No""| 12{""Vendor has fix?""}

12 --> |""Yes""| 11
12 --> |""No""| 13[""Failover to COB""]
13 --> 11

11 --> 15[""Resolve and Close EMS""]
15 --> 14

9 --> 16[""JoinNode""]
16 --> 15
"
4,"
graph LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form (Name information)""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms (Location info)""]
4 --> 5[""Populate additional info (Event info)""]
5 --> 6[""Configure privacy (Privacy toggles)""]
6 --> 7[""Confirm event creation""]
7 --> 8{""Name form populated?""}
8 --> |Yes| 9{""End time > start?""}
8 --> |No| 2 
9 --> |Yes| 10[""Save event info (Saved on FB)""]
9 --> |No| 11[""Display incorrect time""]
11 --> 3 
10 --> 12[""EndNode""]
"
5,"
graph LR
0[""StartNode""] --> 1[""Weekly Process (in time for discounts)""]
1 --> 2[""Pay Invoices (Fully Automated Process)""]
2 --> 3[""Generate Payment Report""]
3 --> 4[""Send to Accounts Receivable""]
3 --> 5[""Send to Registry""]
3 --> 6[""Generate Monthly Invoices (Charge $35 per paid invoice)""]
4 --> 7[""JoinNode""]
5 --> 7
6 --> 7
7 --> 8[""Send Out Invoices""]
8 --> 9[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse and Reserve Inventory""]
2 --> 3{""Purpose? Replenish/Confirm""}
3 --> |""Replenish""|4[""Proceed with Replenishment""]
3 --> |""Confirm Delivery""|5[""EndNode""]
4 --> 5
"
7,"
graph LR
0[StartNode] --> 1{""Verify RFQ?""}
1 --> |Yes| 2[""Analyze RFQ and provide L&M estimates""]
2 --> 3{""Verify RFQ again?""}
3 --> |Yes| 4[""Add overhead costs""]
4 --> 5[""Generate pricing options""]
5 --> 6[""Generate sales quote""]
6 --> 7[""EndNode""]

3 --> |No| 8[""Ask for more information""]
8 --> 9[""Provide clarification""]
9 --> 1

1 --> |No| 8
"
8,"
graph LR
0[StartNode] --> 1[""Receive negotiated conditions""]
1 --> 2{""Check completeness""}
2 --> |No| 3[""Send failure notice""] --> 4[""EndNode""]
2 --> |Yes| 5[""Perform risk assessment""]
5 --> 6{""Check completeness (Repeat)""}
6 --> |No| 3
6 --> |Yes| 7[""Perform risk assessment (Again)""]
7 --> 8[""Check reinsurance option""]
8 --> 9[""Finish contract""] --> 10[""EndNode""]
"
9,"
graph LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
6 --> 7[""Prepare sauce ingredients""]
7 --> 8[""Make sauce""]
5 --> 9[""Wash salad""]
9 --> 10[""Prepare dressing ingredients""]
10 --> 11[""Make dressing""]
8 --> 12[""Prepare lunch""]
11 --> 12
12 --> 13[""Bring dishes to the table""]
13 --> 14[""Prepare dishes""]
14 --> 15[""Bring meal to the table""]
15 --> 16[""Finish lunch""]
"
10,"
graph LR
0[""StartNode""] --> 1[""Obtain problem description""]
1 --> 2{""Can handle?""}
2 --> |Yes|3[""Explain solution""] --> 4[""EndNode""]
2 --> |No|5[""Send email to support""] --> 6{""Can handle now?""}
6 --> |Yes|3
6 --> |No|7[""Send another email""] --> 8[""Wait for answer""] --> 3
3 --> 4
"
11,"
graph LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send invoice""]
1 --> 3[""Send goods""]
2 --> 4[""End""]
3 --> 4
"
12,"
graph LR
StartNode --> 1[""Prepare Shipment Order""]
1 --> 2[""Send Shipment Order""]
2 --> 3[""Carrier provides response""]
3 --> 4{""Carrier's response?""}
4 -->|The answer was positive / Yes| 5[""Accept Shipment Order""]
4 -->|No| 6[""Link A (3. Acquisition of carriers)""]
5 --> 7{""Check response again?""}
7 -->|No| 6[""Link A (3. Acquisition of carriers)""]
7 -->|Yes| 8[""Realize Shipment""]
8 --> 9[""EndNode""]
"
13,"
graph LR
0[""StartNode""] --> 1[""Order Received""]
1 --> 2[""Create Invoice""]
1 --> 3[""Prepare Shipping""]
2 --> 4[""Send Invoice""]
4 --> 5[""Confirm Payment""]
3 --> 6[""Ship Item""]
5 --> 7[""EndNode""]
6 --> 7
"
14,"
graph LR
0[StartNode] --> D1{Can fulfill order?}
D1 -->|Yes| C1[Confirm Order]
D1 -->|No| R1[Reject Order]
C1 --> D2{Can fulfill order again?}
R1 --> D2
D2 -->|Yes| C2[Confirm Order]
D2 -->|No| R2[Reject Order]
C2 --> DL[Deliver Order]
DL --> N1[Notify Delivery]
R2 --> N2[Notify Rejection]
N1 --> E[EndNode]
N2 --> E
"
15,"
graph LR
0[""StartNode""] --> 1{""Verify RFQ""}
1 --> |""No""| 2[""Ask for more information""]
2 --> 1
1 --> |""Yes""| 3[""Analyze RFQ and provide L&M cost estimates""]
3 --> 4[""Add overhead cost and generate pricing options""]
4 --> 5{""Verify RFQ again""}
5 --> |""No""| 2
5 --> |""Yes""| 6[""Add overhead cost and generate pricing options again""]
6 --> 7[""Generate Sales Quote""]
7 --> 8[""EndNode""]
"
16,"  
graph LR  
0[""StartNode""] --> 1[""Check Customer's Credit History""]  
0 --> 2[""Conduct Property Survey""]  
0 --> 3[""Search the Property Title""]  
1 --> 4[""EndNode""]  
2 --> 4  
3 --> 4  
"
17,"
graph LR
0[""StartNode""] --> 1[""Change status""]
1 --> 2{""Check 1: On sale?""}
2 --> |Yes|3{""Check 2: On sale?""}
2 --> |No|3
3 --> |Yes|4[""End: On sale""]
3 --> |No|5[""End: Not on sale""]
"
18,"
graph LR
0[""StartNode""] --> 1[""Identify invoice errors""]
1 --> 2[""Highlight errors on entry form""]
1 --> 3[""Update record of mistakes""]
2 --> 4[""Send invoice back""]
3 --> 4
4 --> 5[""EndNode""]
"
19,"
graph LR
0[""StartNode""] --> 1[""Run invoice payment process for SSP (SAP)""]
1 --> 2[""Send payment report to Accounts Receivable""]
1 --> 3[""Run invoice payment process""]
1 --> 4[""Generate invoice payment report""]

2 --> 5[""Generate monthly invoices for clients""]
2 --> 6[""JoinNode""]
3 --> 6
4 --> 6

6 --> 7[""Send payment report to Client""]
6 --> 8[""Send payment report to Registry""]
7 --> 9[""EndNode1""]
8 --> 10[""EndNode2""]

5 --> 11[""Charge clients""]
11 --> 12[""EndNode3""]
"
20,"
graph LR
0[""StartNode""] --> 1[""Check completeness""]
1 --> 2[""Verify credit history""]
2 --> 3[""Examine loan request""]
3 --> 4{""Check Result?""}
4 --> |""Rejected""|5[""Reject customer request""]
4 --> |""Accepted""|6[""Approve customer request""]
"
21,"
graph LR
0[""StartNode""] --> 1[""Extract Work Orders""]
0 --> 2[""Extract Notifications""]
0 --> 3[""Extract Inspection Orders""]

1 --> 4[""Load Work Orders""] 
4 --> 5[""Pull Work Order Report""]

2 --> 6[""Load Notifications""]
6 --> 7[""Pull Notification Report""]

3 --> 8[""Load Inspection Orders""]
8 --> 9[""Pull Inspection Order Report""]

5 --> 10[""Link Reports""]
7 --> 10
9 --> 10

10 --> 11[""Create and Send Email""]
11 --> 12[""EndNode""]
"
22,"
graph LR
0[""StartNode""] --> 1[""Plan the menu""]
1 --> 2[""Prepare chicken""]
1 --> 3[""Make salad""]
2 --> 4[""Refine chicken""]
3 --> 5[""Prepare the salad""]
4 --> 5
5 --> 6[""Serve the menu""]
"
23,"
graph LR
    0[""StartNode""] --> 1[""Write a letter""]
    1 --> 2[""Obtain letter""]
    2 --> 3{""Check if member?""}
    3 -->|Yes| 4[""Obtain second letter""]
    3 -->|No| 15[""EndNode""]
    4 --> 5{""Check member again?""}
    5 -->|Yes| 6[""Pay fee""]
    5 -->|No| 15
    6 --> 7[""Receive card""]
    7 --> 15
"
24,"
graph LR
0[""StartNode""] --> 1[""Feeling Hungry""]
1 --> 2[""Have Salad""]
1 --> 3[""Enjoy Ice-cream""]
1 --> 4[""Savor Pasta""]
2 --> 5[""Feeling Satisfied""]
3 --> 5
4 --> 5
5 --> 6[""EndNode""]
"
25,"
graph LR
    Start[StartNode] --> EmptySAP[""Empty SAP Master Record Outbox""]
    EmptySAP --> Fork1{Fork}
    Fork1 --> Deliver[""Deliver requests to Master Data Entry Department""]
    Fork1 --> EmptyMDE1[""Empty Master Data Entry Outbox (first time)""]
    Deliver --> Join1
    EmptyMDE1 --> Join1
    Join1 --> ReceiveForm[""Receive Vendor Master Record Requests Form""]
    ReceiveForm --> EmptyMDE2[""Empty Master Data Entry Outbox (second time)""]
    EmptyMDE2 --> Process[""Process Vendor Master Record Requests\n**Ensure applied to all requests**""]
    Process --> Place[""Place completed requests in Data Entry Officer Inbox""]
    Place --> End[EndNode]
"
26,"
graph LR
0[""StartNode""] --> 1[""Register event participation""]
1 --> 2[""ForkNode""]
2 --> 3[""Register process seminar results""]
2 --> 4[""Create purchase request""]
3 --> 5[""JoinNode""]
4 --> 5
5 --> 6{""Purchase request approve?""}
6 --> |""Rejected""|7[""Notify rejection""]
6 --> |""Approved""|8[""Send approved notification""]
7 --> 9[""EndNode""]
8 --> 9
"
27,"
graph LR
0[""StartNode""] --> 1[""Place Order""]
1 --> 2[""Verify Customer""]
2 --> 3{""Customer Okay?""}
3 --> |""Yes""|4[""Check Availability""]
3 --> |""No""|5[""Create New Customer""]
5 --> 6[""EndNode""]
4 --> 7{""Product Available?""}
7 --> |""Yes""|8[""Ship Goods""]
7 --> |""No""|9[""Produce Goods""]
8 --> 6
9 --> 6
"
28,"
graph LR
0[""StartNode""] --> 1[""Move to square (2,5)""]
1 --> 2[""Wait for message""]
2 --> 3{""Check if response from all players received?""}
3 --> |""Yes""| 4[""EndNode""]
3 --> |""No""| 2
"
29,"
graph LR
0[""StartNode""] --> 1[""Obtain credit score""]
0 --> 2[""Get credit score""]
0 --> 3[""Check credit score""]
1 --> 4[JoinNode]
2 --> 4
3 --> 4
4 -->5[""Check income to payment ratio""]
5 -->6[""Assess credit risk""]
6 -->7[""EndNode""]
"
30,"
graph LR
0[""StartNode""] --> 1[""Receive payment from previous week""]
1 --> 2{""Payment received?""}
2 --> |""No""|3[""Document bad credit\n(against accounts receivable and member's file)""]
2 --> |""Yes""|4[""Update members' files\nand process order""]
3 --> 5[""Inform members of bad credit\nand suspend orders""]
5 --> 6[""Complete credit check\nand end process""]
6 --> 7[""EndNode""]
4 --> 8{""Check payment again?""}
8 --> |""No""|9[""Document bad credit\n(against accounts receivable and member's file)""]
8 --> |""Yes""|10[""Update members' files\nand process order again""]
9 --> 5
10 --> 11[""Document bad credit\n(against accounts receivable and member's file)""]
11 --> 5
5 --> 6
"
31,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> |""No""| 2[""Ask for more information""]
2 --> 1
1 --> |""Yes""| 3[""Analyze RFQ and provide L&M cost estimates""]
3 --> 4{""Check RFQ verification?""}
4 --> |""No""| 2
4 --> |""Yes""| 5[""Provide verification""]
5 --> 6[""Add overhead costs and generate pricing options""]
6 --> 7{""Check RFQ verification again?""}
7 --> |""No""| 2
7 --> |""Yes""| 8[""Generate Sales Quote""]
8 --> 9[""EndNode""]
"
32,"
graph LR
0[""StartNode""] --> 1[""Bring computer to ACM and describe problem""]
1 --> 2[""Describe computer problem""]
2 --> 3[""Receive estimate""]
3 --> 4{""Evaluate estimate (acceptable?)""}
4 --> |""Yes""|5[""Authorize repair""]
4 --> |""No""|6[""Take computer back""]
6 --> 7[""EndNode""]
5 --> 8[""Receive repair notice""]
8 --> 9{""Problem fixed?""}
9 --> |""Yes""|10[""Receive invoice and P/S documents""]
9 --> |""No""|7
10 --> 11[""Send payment""]
11 --> 7
"
33,"  
graph LR  
0[""StartNode""] --> 1[""Analyze Goal Model""]  
1 --> 2[""Analyze Business Process Models""]  
2 --> 3{""Check: Goals satisfied? Activities correspond?""}  
3 --> |""Yes""| 4[""EndNode""]  
3 --> |""No""| 5[""Update""]  
5 --> 1  
"
34,"
graph LR
0[""StartNode""] --> 1[""Identify Vacancy""]
1 --> 2[""Manage Position Profile""]
2 --> 3[""Review Terms & Conditions""]
2 --> 4[""Assemble Selection Panel""]
3 --> 5[""EndNode""]
4 --> 5
"
35,"  
graph LR  
0[""StartNode""] --> 1[""Verify form structure""]  
1 --> 2{""Form correct?""}  
2 --> |""Yes""|3[""Verify proposal""]  
2 --> |""No""|4[""Form error (end)""]  
3 --> 5{""Proposal okay?""}  
5 --> |""Yes""|6[""Process successful (end)""]  
5 --> |""No""|7[""Failure (end)""]  
"
36,"
graph LR
1[""StartNode""] --> 2[""Receive negotiated conditions""]
2 --> 3{""Check completeness""}
3 --> |""Complete""|4[""Categorize customer""]
3 --> |""Not complete""|5[""Send failure notice""]
5 --> 6[""EndNode""]
4 --> 7{""Check completeness again""}
7 --> |""Complete""|8[""Check insurance benefits""]
7 --> |""Not complete""|9[""Send failure notice""]
9 --> 6
8 --> 10[""Finish contract""]
10 --> 6
"
37,"
graph LR
0[""StartNode""] --> 1[""Receive signed offer""]
1 --> 2[""ForkNode""]
2 --> 3[""Register acceptance of contract""]
2 --> 4[""Scan billing info and pincode""]
2 --> 5{""Competitor info available?""}
5 --> |Yes| 6[""Register competitor's information""]
5 --> |No| 7[""(No action)""]
3 --> 8[""JoinNode""]
4 --> 8
6 --> 8
7 --> 8
8 --> 9[""Process the offer""]
9 --> 10[""EndNode""]
"
38,"
graph LR
0[StartNode] --> 1[Ensure Completion by EOW]
1 --> 2[ForkNode]
2 --> 3[Generate and Send Payment Report]
2 --> 4[Handle Individual Client's Report]
4 --> 5[Handle SSP's Accounts Receivable Department's Report]
5 --> 6[Handle Registry's Report]
3 --> 7[JoinNode]
6 --> 7
7 --> 8[EndNode]
"
