,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 11[""Need External Expertise?""]
4[""Expert Responds in Time?""] --> |""Yes""|5[""Forward Report to Referee""]
4 --> |""No""|6[""Ask for External Expertise""]
5 --> 9[""Fill out Check for Expenses""]
6 --> 7[""Expert Responds in Time?""]
7 --> |""Yes""|5
7 --> |""No""|6
9 --> 10[""End Process""]
11 --> |""No""|4
11 --> |""Yes""|6"
1,"flowchart LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2[""Are fees required?""]
2 --> |""No""|3[""Register Post-Seminar Results""]
2 --> |""Yes""|4[""Create Purchase Request""]
3 --> 8[""EndNode""]
4 --> 5[""Check Purchase Approval""]
5 --> |""Approved""|6[""Send Approval Notification""]
5 --> |""Denied""|7[""Notify Rejection""]
6 --> 3
7 --> 8"
2,"flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
1 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable Categorization""]
3 --> 7[""Milk""]
3 --> 8[""Cheese""]
3 --> 9[""Non-perishable""]
4 --> 11[""Temperature Weight and Date Center""]
5 --> 11
6 --> 11
7 --> 11
8 --> 11
9 --> 11
9 --> 10[""Perishable""]
10 --> 11
11 --> 12[""Store Items Based on Item Policy""]
12 --> 17[""EndNode""]
14[""Start Node""] --> 0"
3,"flowchart LR
0[""Start Node""] --> 1[""Detect Incident""]
1 --> 2[""Financial Impact?""]
1 --> 23[""Check Financial Impact""]
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""End Process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open Conference Line""]
6 --> 8
7 --> 8
8 --> 9[""Troubleshoot Issue""]
9 --> 10[""Resolution Known?""]
10 --> |""YES""|11[""Fix Issue""]
10 --> |""NO""|12[""Check with Vendor""]
11 --> 15[""Resolve and Close EMS""]
12 --> 13[""Vendor has a Fix?""]
13 --> |""YES""|11
13 --> |""NO""|14[""Failover to COB""]
15 --> 4
23 --> 2"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Is name form populated?""]
8 --> |""Yes""|10[""Does end time occur after start time?""]
8 --> |""No""|2
10 --> |""No""|11[""Display incorrect time notification""]
10 --> |""Yes""|12[""Save event information""]
11 --> 3
12 --> 13[""End process""]"
5,"flowchart LR
1[""Pay invoices""] --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send Payment Report to Registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send Out Invoices""]
7 --> 8[""End Process""]
9[""Weekly""] --> 1"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 6[""Purpose of the order?""]
6 --> |""Replenish Inventory""|4[""Reserve Inventory""]
6 --> |""Confirm Order for Delivery""|5[""End Process""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
0 --> 6[""Verify RFQ""]
1 --> 2[""Is RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 8[""Add overhead costs""]
6 --> 7[""Is RFQ verified?""]
7 --> |""No""|3
7 --> |""Yes""|4
8 --> 9[""Generate pricing options""]
9 --> 10[""Generate sales quote""]
10 --> 11[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3[""Data complete?""]
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
4 --> 7[""Check reinsurance option""]
5 --> 6[""EndNode""]
7 --> 8[""Finish contract""]
8 --> 6"
9,"flowchart LR
0[""Feel Hungry""] --> 1[""Decide to Cook""]
1 --> 2[""Choose Recipes""]
2 --> 3[""Prepare Ingredients""]
3 --> 4[""Prepare Water for Pasta""]
3 --> 5[""Prepare Salad for Washing""]
4 --> 6[""Put Pasta into Water""]
5 --> 7[""Wash Salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 10[""Prepare Ingredients for Dressing""]
8 --> 9[""Make Sauce""]
9 --> 12[""Bring Dishes to Table""]
10 --> 11[""Make Dressing""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring Meal to Table""]
14 --> 15[""Finish Lunch""]"
10,"flowchart LR
0[""StartNode""] --> 1[""Customer encounters a problem""]
1 --> 2[""Obtain detailed description of the problem""]
2 --> 3[""Can I handle the problem myself?""]
3 --> |""Yes""|4[""Explain the solution""]
3 --> |""No""|5[""Send email to support system""]
5 --> 6[""Can I handle the problem myself?""]
5 --> 8[""Wait for answer to be received""]
6 --> |""Yes""|4
6 --> |""No""|9[""Send another email to support system""]
8 --> 4"
11,"flowchart LR
0[""Complete Purchase Order""] --> 1[""Send Invoice""]
0 --> 2[""Send Goods""]
1 --> 3[""Process Concludes""]
2 --> 3
4[""StartNode""] --> 0"
12,"flowchart LR
0[""StartNode""] --> 1[""Prepare Shipment Order""]
1 --> 2[""Send Shipment Order""]
2 --> 3[""Carrier Response""]
3 --> |""Yes""|5[""Accept Shipment Order""]
3 --> |""No""|7[""End (Link A: Acquisition of carriers)""]
5 --> 6[""Acceptance Response""]
6 --> |""No""|7
6 --> |""Yes""|8[""Realize Ordered Shipment""]
8 --> 9[""EndNode""]
8 --> 11[""End Process""]"
13,"flowchart LR
0[""Order received""] --> 1[""Create invoice""]
0 --> 2[""Prepare shipping""]
1 --> 3[""Send invoice""]
2 --> 4[""Ship item""]
3 --> 5[""Confirm payment""]
4 --> 5
5 --> 7[""End process""]"
14,"flowchart LR
0[""StartNode""] --> 2[""Can fulfill the order?""]
2 --> |""Yes""|3[""Confirm the order""]
2 --> |""No""|4[""Reject the order""]
3 --> 5[""Can fulfill the order?""]
4 --> 7[""Notify order rejected""]
5 --> |""Yes""|6[""Deliver the order""]
5 --> |""No""|4
6 --> 8[""Notify order successfully delivered""]"
15,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2[""Verification successful?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
3 --> 1
4 --> 5[""Verify RFQ""]
5 --> 6[""Verification successful?""]
6 --> |""Yes""|8[""Analyze RFQ and provide L&M cost estimates""]
6 --> |""No""|3
8 --> 9[""Add overhead cost""]
9 --> 10[""Generate pricing options""]
10 --> 11[""Generate sales quote""]
11 --> 12[""EndNode""]"
16,"flowchart LR
0[""StartNode""] --> 1[""Check Customer's Credit History""]
0 --> 2[""Conduct Property Survey""]
0 --> 3[""Search the Property Title""]
1 --> 4[""Credit History File""]
2 --> 7[""End Process""]
3 --> 7"
17,"flowchart LR
0[""StartNode""] --> 1[""Change Status""]
1 --> 2[""Is the product on sale?""]
2 --> |""Yes""|6[""Mark product as on sale""]
2 --> |""No""|7[""Mark product as not on sale""]
6 --> 5[""EndNode""]
7 --> 5"
18,"flowchart LR
0[""Start Node""] --> 1[""Identify invoice errors""]
1 --> 2[""Highlight errors on the entry form""]
1 --> 3[""Update record of mistakes""]
2 --> 4[""Send the invoice back""]
3 --> 4
4 --> 5[""Conclude the process""]"
19,"flowchart LR
0[""StartNode""] --> 1[""Run the invoice payment process for SSP""]
1 --> 2[""Pay attention to the SAP system""]
2 --> 3[""Send payment report to Accounts Receivable""]
2 --> 4[""Run invoice payment process""]
2 --> 5[""Generate invoice payment report""]
3 --> 7[""Send payment report to Client""]
3 --> 8[""Send payment report to Registry""]
6[""Generate monthly invoices for clients""] --> 10[""Charge the clients""]
7 --> 6
8 --> 9[""EndNode""]
10 --> 9"
20,"flowchart LR
0[""StartNode""] --> 1[""Check Completeness""]
1 --> 2[""Verify Credit History""]
2 --> 7[""Examine Loan Request""]
3[""Check Result?""] --> |""Rejection""|4[""Reject Customer Request""]
3 --> |""Acceptance""|5[""Approve Customer Request""]
4 --> 6[""EndNode""]
5 --> 8[""EndNode""]
7 --> 3"
21,"flowchart LR
0[""Extract Work Orders""] --> 1[""Extract Notifications""]
0 --> 3[""Extract Inspection Orders""]
0 --> 2[""Load Work Orders""]
1 --> 5[""Load Notifications""]
2 --> 6[""Pull Together Work Order Report""]
3 --> 4[""Load Inspection Orders""]
4 --> 7[""Pull Together Inspection Order Report""]
5 --> 8[""Pull Together Notification Report""]
6 --> 9[""Link Reports from PPT""]
7 --> 9
8 --> 9
9 --> 10[""Create and Send Email""]
10 --> 11[""End with WHISKY""]
12[""StartNode""] --> 0"
22,"flowchart LR
0[""Plan the menu""] --> 1[""Prepare the chicken""]
0 --> 2[""Make the salad""]
1 --> 3[""Refine the chicken""]
2 --> 4[""Prepare the salad""]
3 --> 5[""Serve the menu""]
4 --> 5
6[""StartNode""] --> 0"
23,"flowchart LR
0[""Write a letter""] --> 1[""Obtain the letter""]
1 --> 11[""Are they a member?""]
3[""Obtain a second letter""] --> 5[""Check membership?""]
5 --> 13[""Is the applicant a member?""]
6[""Obtain a second letter""] --> 7[""Pay the fee""]
7 --> 8[""Receive a card""]
8 --> 14[""End Process""]
10[""StartNode""] --> 0
11 --> |""Yes""|3
11 --> |""No""|15[""EndNode""]
13 --> |""Yes""|6
13 --> |""No""|15"
24,"flowchart LR
0[""Feel hungry""] --> 6[""Have dinner consisting of three dishes""]
2[""Have a salad""] --> 5[""Feel satisfied""]
3[""Enjoy some ice-cream""] --> 5
4[""Savor a plate of pasta""] --> 5
6 --> 2
6 --> 3
6 --> 4"
25,"flowchart LR
0[""Start at 11am and 3am on weekdays""] --> 1[""Empty SAP Master Record Outbox""]
1 --> 2[""Deliver requests to the Master Data Entry Department""]
1 --> 3[""Empty Master Data Entry Outbox""]
2 --> 4[""Receive Vendor Master Record Requests Form""]
4 --> 5[""Process Vendor Master Record Requests""]
5 --> 6[""Place completed requests in Data Entry Officer Inbox""]
6 --> 7[""Completed requests received""]"
26,"flowchart LR
0[""StartNode""] --> 1[""Register event participation""]
1 --> 2[""Register process seminar results""]
1 --> 3[""Create purchase request""]
2 --> 4[""Purchase request approved?""]
3 --> 4
4 --> |""Rejected""|5[""Notify rejection""]
4 --> |""Approved""|6[""Send approved notification""]
5 --> 7[""EndNode""]
6 --> 11[""Purchase request approved?""]
11 --> |""Approved""|6
11 --> |""Rejected""|5"
