,0
0,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    1 --> 5[""filter_material_rubber""]
    1 --> 6[""filter_material_metal""]
    2 --> 3[""unique""]
    3 --> 4[""query_shape""]
    5 --> 7[""OR""]
    6 --> 7
"
1,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    1 --> 6[""filter_color_gray""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 9[""AND""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""count""]
"
2,"graph LR
    1[""scene""] --> 6[""filter_shape_sphere""]
    3[""filter_size_small""] --> 4[""unique""]
    4 --> 5[""query_color""]
    5 --> 8[""filter_color""]
    6 --> 7[""filter_size_small""]
    8 --> 9[""count""]
"
3,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 10[""filter_shape_cylinder""]
    3[""unique""] --> 4[""relate_right""]
    4 --> 5[""filter_color_red""]
    4 --> 7[""filter_material_metal""]
    5 --> 6[""filter_material_rubber""]
    6 --> 8[""OR""]
    8 --> 9[""count""]
    10 --> 3
"
4,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    3[""unique""] --> 4[""relate_left""]
    6[""filter_material_matte""] --> 7[""filter_size_large""]
    7 --> 8[""unique""]
    8 --> 9[""relate_right""]
    9 --> 10[""filter_size_large""]
    10 --> 11[""count""]
    13[""unique""] --> 5[""relate_in_front""]
"
5,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 6[""filter_shape_cube""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 5[""unique""]
    5 --> 10[""equal_size""]
    6 --> 7[""unique""]
    7 --> 8[""relate_behind""]
"
6,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 11[""filter_size_small""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    6 --> 7[""filter_material_rubber""]
    7 --> 8[""unique""]
    8 --> 9[""query_color""]
    9 --> 15[""equal_color""]
    11 --> 12[""filter_material_rubber""]
    12 --> 13[""unique""]
    13 --> 14[""query_color""]
    14 --> 15
"
7,"graph LR
    1[""scene""] --> 4[""filter_material_matte""]
    1 --> 9[""filter_color_blue""]
    2[""filter_size_small""] --> 3[""unique""]
    4 --> 5[""filter_shape_cylinder""]
    5 --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 11[""query_shape""]
    8[""filter_size_large""] --> 10[""unique""]
    9 --> 8
    10 --> 12[""query_shape""]
    11 --> 13[""equal_shape""]
    12 --> 13
"
8,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    1 --> 8[""filter_shape_cube""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    7[""unique""] --> 11[""query_color""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""unique""]
    10 --> 12[""query_color""]
    11 --> 13[""equal_color""]
    12 --> 13
"
9,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 7[""filter_material_metal""]
    1 --> 10[""filter_material_rubber""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""filter_shape_sphere""]
    5 --> 6[""count""]
    6 --> 9[""less_than""]
    8[""count""] --> 9
"
10,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 4[""filter_color_gray""]
    3[""filter_material_rubber""] --> 5[""filter_shape_cylinder""]
    4 --> 3
    5 --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 8[""filter_shape_sphere""]
    8 --> 9[""unique""]
    9 --> 10[""query_color""]
"
11,"graph LR
    1[""scene""] --> 5[""filter_shape_sphere""]
    3[""filter_size_large""] --> 4[""unique""]
    4 --> 8[""relate_left""]
    5 --> 6[""filter_size_small""]
    6 --> 7[""unique""]
    7 --> 9[""relate_behind""]
    8 --> 10[""AND""]
    9 --> 10
    10 --> 11[""filter_shape_cylinder""]
    11 --> 12[""unique""]
    12 --> 13[""query_size""]
"
12,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 5[""filter_color_purple""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 8[""relate_behind""]
    5 --> 6[""filter_shape_sphere""]
    6 --> 7[""unique""]
    7 --> 9[""relate_in_front""]
    8 --> 13[""AND""]
    9 --> 13
    10[""filter_material_rubber""] --> 11[""unique""]
    11 --> 12[""query_shape""]
    13 --> 10
"
13,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    1 --> 7[""filter_color_yellow""]
    2 --> 3[""filter_size_small""]
    3 --> 4[""filter_shape_cube""]
    4 --> 5[""unique""]
    5 --> 6[""query_material""]
    6 --> 8[""filter_material""]
    8 --> 9[""unique""]
    9 --> 10[""query_shape""]
"
14,"graph LR
    1[""scene""] --> 6[""filter_material_metal""]
    1 --> 8[""filter_color_cyan""]
    3[""filter_size_small""] --> 4[""unique""]
    4 --> 5[""query_shape""]
    8 --> 3
    9[""unique""] --> 10[""query_size""]
"
15,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    1 --> 4[""filter_color_green""]
    4 --> 5[""filter_material_metal""]
    5 --> 6[""filter_size_large""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9[""OR""]
    9 --> 10[""count""]
"
16,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 7[""filter_color_cyan""]
    2 --> 3[""filter_color_green""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cube""]
    7 --> 8[""filter_size_small""]
    8 --> 9[""unique""]
    9 --> 10[""relate_behind""]
    10 --> 11[""filter_size_large""]
    13[""OR""] --> 12[""count""]
"
17,"graph LR
    1[""scene""] --> 2[""filter_color_yellow""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_in_front""]
    6[""relate_behind""] --> 7[""filter_size_large""]
    7 --> 8[""count""]
"
18,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
"
19,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 6[""filter_shape_cube""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""query_color""]
    5 --> 7[""filter_color""]
    6 --> 7
    7 --> 8[""count""]
"
