,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
2 --> 3[""Create report""]
3 --> 4{""Expert responds in time?""}
4 --> |""Yes""| 5[""Forward report to referee""]
4 --> |""No""| 6[""Ask for external expertise""]
5 --> 7[""Fill out check to pay expenses""]
6 --> 4
7 --> 8[""EndNode""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees required?""}
2 --> |""No""| 3[""Register post-seminar results""]
2 --> |""Yes""| 4[""Create purchase request""]
3 --> 5[""EndNode""]
4 --> 6{""Purchase approved?""}
6 --> |""Yes""| 7[""Send approval notification""]
6 --> |""No""| 8[""Notify rejection""]
7 --> 3
8 --> 5
"
2,"
graph LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
2 --> 4
3 --> 5[""Vegetable Categorization""]
4 --> 6[""Fruit Categorization""]
5 --> 6
6 --> 7[""Temperature Weight and Date Center""]
7 --> 8[""Store Items based on Item Policy""]
7 --> 9[""Milk""]
7 --> 10[""Cheese""]
7 --> 11[""Non-perishable""]
7 --> 12[""Perishable""]
9 --> 7
10 --> 7
11 --> 7
12 --> 7
8 --> 13[""End Process""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2{""Financial Impact?""}
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|4[""EndNode""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
7 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot""]
9 --> 10{""Resolution Known?""}
10 --> |""YES""|11[""Fix the Issue""]
10 --> |""NO""|12[""Check with Vendor""]
11 --> 13{""Vendor has a Fix?""}
12 --> 13
13 --> |""YES""|11
13 --> |""NO""|14[""Failover to COB""]
11 --> 15[""Resolve and Close EMS""]
15 --> 4
"
4,"
graph LR
0[""Open event creation page""] --> 1[""Populate name form""]
1 --> 2[""Populate time forms""]
2 --> 3[""Populate location forms""]
3 --> 4[""Populate additional information""]
4 --> 5[""Configure privacy settings""]
5 --> 6{""Is name form populated?""}
6 --> |""No""| 7[""Populate name form (again)""]
6 --> |""Yes""| 8{""Does end time occur after start time?""}
7 --> 6
8 --> |""Yes""| 9[""Save event information""]
9 --> 10[""Process ends""]
8 --> |""No""| 11[""Display incorrect time notification""]
11 --> 12[""Populate time forms (again)""]
12 --> 8
"
5,"
graph LR
0[""Weekly, in time for discounts""] --> 1[""Pay invoices""]
1 --> 2[""Generate a payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send payment report to registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Send out invoices""]
3 --> 6
4 --> 6
"
6,"
graph LR
0[""Submit Purchase Order""] --> 1[""Select Warehouse""]
1 --> 2{""Purpose of action?""}
2 --> |""Replenish Inventory""|3[""Reserve Inventory""]
2 --> |""Confirm Order for Delivery""|4[""End Process""]
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""RFQ Verified?""}
2 --> |""Yes""| 3[""Analyze RFQ and provide L&M cost estimates""]
2 --> |""No""| 4[""Ask for more information""]
4 --> 5[""Provide clarification""]
5 --> 1
3 --> 6{""RFQ Verified?""}
6 --> |""Yes""| 7[""Add overhead costs""]
6 --> |""No""| 4
7 --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]
9 --> 10[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3{""Data complete?""}
3 --> |""Yes""| 4[""Perform risk assessment""]
3 --> |""No""| 5[""Send failure notice""]
4 --> 6[""Check reinsurance option""]
5 --> 7[""EndNode""]
6 --> 8[""Finish contract""]
8 --> 7
"
9,"
graph LR
0[""Hungry feeling""] --> 1[""Decide to cook""]
1 --> 2[""Choose recipes""]
2 --> 3[""Prepare ingredients""]
3 --> 4[""Prepare water for pasta""]
3 --> 5[""Prepare salad for washing""]
4 --> 6[""Put pasta into water""]
5 --> 7[""Wash salad""]
6 --> 8[""Prepare ingredients for sauce""]
7 --> 9[""Prepare ingredients for dressing""]
8 --> 10[""Make sauce""]
9 --> 11[""Make dressing""]
10 --> 12[""Bring dishes to table""]
11 --> 12
12 --> 13[""Prepare dishes""]
13 --> 14[""Bring meal to table""]
14 --> 15[""Finish lunch""]
"
10,"
graph LR
0[""StartNode""] --> 1[""Obtain detailed description of the problem""]
1 --> 2{""Can I handle the problem myself?""}
2 --> |""Yes""|3[""Explain the solution""]
2 --> |""No""|4[""Send email to support system""]
4 --> 5[""Wait for an answer""]
5 --> 3
3 --> 6[""EndNode""]
"
11,"
graph LR
0[""Complete purchase order""] --> 1[""Send invoice""]
0 --> 2[""Send goods""]
1 --> 3[""EndNode""]
2 --> 3
"
12,"
graph LR
0[""StartNode""] --> 1[""Prepare shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3[""Carrier provides response""]
3 --> 4{""Carrier response""}
4 --> |""No""| 5[""Link A (3. Acquisition of carriers)""]
4 --> |""Yes""| 6[""Accept shipment order""]
6 --> 7{""Carrier response""}
7 --> |""No""| 5
7 --> |""Yes""| 8[""Ordered shipment realized""]
8 --> 9[""EndNode""]
"
