,0
0,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""exclude""]
    1 --> 5[""same_material""]
    5 --> 6[""And""]
    4 --> 6
    3 --> 6
    6 --> 7[""filter_material_metal""]
    7 --> 8[""count""]
"
1,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    1 --> 6[""filter_color_gray""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    5 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_metal""]
    10 --> 11[""count""]
"
2,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_matte""]
    3 --> 4[""unique""]
    4 --> 5[""same_color""]
    5 --> 6[""filter_size_small""]
    6 --> 7[""count""]
"
3,"
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    4 --> 5[""AND""] 
    5 --> 6[""filter_color_red""]
    5 --> 7[""filter_material_rubber""]
    7 --> 8[""AND""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""filter_shape_cube""]
    10 --> 11[""relate_right""]
    11 --> 12[""AND""]
    12 --> 13[""filter_color_green""]
    13 --> 14[""unique""]
    15[""OR""] 
    5 --> 15
    12 --> 15
    15 --> 16[""count""]
"
4,"
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""unique""]
    1 --> 4[""filter_material_metal""]
    4 --> 5[""filter_shape_cylinder""]
    3 --> 6[""relate_left""]
    5 --> 6
    6 --> 7[""relate_in_front""]
    1 --> 8[""filter_size_large""]
    8 --> 9[""filter_material_metal""]
    7 --> 10[""filter_size_large""]
    10 --> 11[""relate_right""]
    9 --> 11
    11 --> 12[""filter_size_large""]
    12 --> 13[""count""]
"
5,"
graph LR
    1[""scene""] --> 2[""filter_shape_cube""]
    2 --> 3[""unique""]
    3 --> 4[""same_size""]
    1 --> 5[""relate_behind""]
    1 --> 6[""filter_color_brown""]
    6 --> 7[""filter_material_metal""]
    7 --> 8[""unique""]
    8 --> 9[""same_material""] 
    4 --> 10[""And""]
    9 --> 10
    10 --> 11[""not same_size""]
"
6,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    1 --> 7[""filter_color_blue""]
    7 --> 8[""filter_size_large""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
    11[""filter_color_s""] --> 12[""filter_size_small""]
    12 --> 13[""query_color""]
    13 --> 14[""exist""]
    6 --> 10
    10 --> 15[""take_color""]
    15 --> 16[""query_color""]
    16 --> 17[""equal_color""]
"
7,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""unique""]
    1 --> 5[""filter_shape_cylinder""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 8[""relate_right""]
    8 --> 9[""filter_size_small""]
    9 --> 10[""unique""]
    10 --> 11[""same_shape""]
    4 --> 11
"
8,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""relate_right""]
    1 --> 4[""filter_size_small""]
    4 --> 5[""filter_material_metal""]
    3 --> 5
    5 --> 6[""query_color""]
    1 --> 7[""filter_size_small""]
    7 --> 8[""filter_shape_cube""]
    8 --> 9[""query_material""]
    6 --> 10[""equal_color""]
    9 --> 10
"
9,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""count""]
    1 --> 6[""filter_material_metal""]
    6 --> 7[""count""]
    5 --> 8[""less_than""]
    7 --> 8
"
