,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2[""File results and expertise""]
2 --> 3[""Create report""]"
1,"flowchart LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2[""Fees Required?""]
2 --> |""Yes""|3[""Create Purchase Request""]
2 --> |""No""|4[""Register Post-Seminar Results""]
3 --> 5[""Purchase Approved?""]
4 --> 9[""EndNode""]
5 --> |""Approved""|6[""Send Approval Notification""]
5 --> |""Denied""|7[""Notify Rejection""]
6 --> 8[""Register Post-Seminar Results""]
7 --> 9
8 --> 9"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept item""]
1 --> |""Fork1""|2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
6[""Fruits""] --> 7[""Fruit Categorization""]
7 --> 8[""Vegetable""]
8 --> 9[""Vegetable Categorization""]
9 --> |""Fork2""|10[""Milk""]
9 --> 11[""Cheese""]
24[""Store items based on policy""] --> 25[""EndNode""]"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2[""Check financial impact""]
2 --> |""Yes""|3[""Open EMS""]
2 --> |""No""|4[""End process""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open conference line""]
5 --> 9[""ForkNode""]
6 --> 9
7 --> 9
8 --> 9
9 --> 11[""Check resolution known?""]
14[""Vendor has fix?""] --> |""Yes""|15[""Fix issue""]
14 --> |""No""|16[""Failover to COB""]
15 --> 17[""Resolve and close EMS""]
16 --> 17"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form (requires Name information)""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms (requires Location information)""]
4 --> 5[""Populate additional information (requires Event information)""]
5 --> 6[""Configure privacy settings (requires Privacy information)""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Check name form populated?""]
8 --> |""No""|2
8 --> |""Yes""|9[""Check end time after start?""]
9 --> |""No""|10[""Display incorrect time notification""]
9 --> |""Yes""|11[""Save event information""]
10 --> 3
11 --> 12[""Save to Facebook""]
12 --> 13[""EndNode""]"
5,"flowchart LR
2[""Pay Invoices (Automated)""] --> 3[""Generate Payment Report""]
3 --> 4[""Send to Accounts Receivable""]
3 --> 5[""Send to Registry""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
2[""Ask for more information""] --> 1
4[""Check RFQ verified again?""] --> |""No""|2
7[""Verify RFQ again?""] --> |""No""|2
7 --> |""Yes""|8[""Add overhead costs and generate pricing options""]
9[""Generate sales quote""] --> 10[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> |""No""|3[""Send failure notice""]
2 --> |""Yes""|5[""Perform risk assessment""]
3 --> 4[""EndNode""]
5 --> 6[""Check completeness again""]
6 --> |""No""|3
7[""Check reinsurance option""] --> 8[""Finish contract and end""]"
9,"flowchart LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 6[""Prepare salad for washing""]
5 --> 7[""Put pasta into water""]
6 --> 10[""Wash salad""]
7 --> 8[""Prepare ingredients to make sauce""]
8 --> 9[""Make sauce""]
10 --> 11[""Prepare ingredients to make dressing""]
11 --> 12[""Make dressing""]
14[""Bring dishes to table""] --> 15[""Prepare dishes""]
15 --> 16[""Bring meal to table""]
16 --> 17[""Finish lunch""]"
10,"flowchart LR
1[""Obtain problem description""] --> 2[""Can handle problem?""]
2 --> |""Yes""|3[""Explain solution""]
2 --> |""No""|5[""Send email to support system""]
3 --> 4[""EndNode""]
5 --> 6[""Wait for answer""]"
11,"flowchart LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send invoice""]
1 --> 3[""Send goods""]
2 --> 4[""EndNode""]
3 --> 4"
12,"flowchart LR
0[""StartNode""] --> 1[""Prepare Shipment Order""]
1 --> 2[""Send Shipment Order""]
2 --> 3[""Carrier's response""]
3 --> |""yes""|5[""Accept Shipment Order""]
6[""Realize Shipment""] --> 8[""EndNode""]"
13,"flowchart LR
0[""StartNode""] --> 1[""Order received""]
1 --> |""Create Invoice""|2[""Create invoice""]
1 --> |""Prepare Shipping""|3[""Prepare shipping""]
2 --> 4[""Send invoice""]
3 --> 7[""Ship item""]
4 --> 5[""Confirm payment""]
5 --> 6[""EndNode""]
7 --> 6"
14,"flowchart LR
0[""StartNode""] --> 1[""Check if can fulfill""]
1 --> |""Yes""|2[""Confirm order""]
1 --> |""No""|3[""Reject order""]"
15,"flowchart LR
1[""Verify RFQ?""] --> |""No""|2[""Ask for more information""]
1 --> |""Yes""|3[""Analyze RFQ and provide L&M cost estimates""]
2 --> 1
6[""Verify RFQ Again?""] --> |""No""|2
6 --> |""Yes""|7[""Add overhead cost again""]
7 --> 8[""Generate pricing options again""]
8 --> 9[""Generate sales quote""]"
16,"flowchart LR
0[""StartNode""] --> 1[""CheckCreditHistory""]
0 --> 2[""PropertySurvey""]
0 --> 3[""SearchTitle""]
1 --> 4[""JoinNode""]
2 --> 4
3 --> 4"
17,"flowchart LR
0[""StartNode""] --> 1[""Change status""]
1 --> 2[""Check if on sale?""]
2 --> |""Yes""|3[""Mark as on sale""]
2 --> |""No""|4[""Mark as not on sale""]"
18,"flowchart LR
0[""StartNode""] --> 1[""Identify invoice errors""]
1 --> 2[""Highlight errors on entry form""]
1 --> 3[""Update record of mistakes""]
2 --> 4[""Send invoice back""]
3 --> 4
4 --> 5[""EndNode""]"
19,"flowchart LR
0[""StartNode""] --> 1[""Run invoice payment process for SSP using SAP""]
3[""Send payment report to Accounts Receivable""] --> 6[""Generate monthly invoices for clients""]
6 --> 7[""Charge the clients""]"
20,"flowchart LR
0[""StartNode""] --> 1[""Check Completeness""]
1 --> 2[""Verify Credit History""]
2 --> 3[""Examine Loan Request""]
3 --> 4[""Check Result?""]
4 --> |""Rejected""|5[""Reject Request""]
4 --> |""Accepted""|6[""Approve Request""]"
21,"flowchart LR
0[""StartNode""] --> |""Fork""|1[""Extract Work Orders""]
0 --> 2[""Extract Notifications""]
0 --> 3[""Extract Inspection Orders""]
1 --> 4[""Load Work Orders""]
2 --> 8[""Load Notifications""]
3 --> 6[""Load Inspection Orders""]
4 --> 5[""Pull Work Order Report""]
6 --> 7[""Pull Inspection Order Report""]
8 --> 9[""Pull Notification Report""]"
22,"flowchart LR
0[""StartNode""] --> 1[""Plan menu""]
1 --> 2[""Prepare chicken""]
1 --> 3[""Make salad""]
2 --> 4[""Refine chicken""]
4 --> 5[""Prepare salad""]
7[""Serve the menu""] --> 8[""EndNode""]"
23,"flowchart LR
0[""StartNode""] --> 1[""Write letter""]
1 --> 2[""Obtain letter""]
5[""Obtain second letter""] --> 6[""Check if member again""]
6 --> |""No""|4[""EndNode""]
6 --> |""Yes""|7[""Pay fee""]
7 --> 8[""Receive card""]
8 --> 4"
24,"flowchart LR
0[""StartNode""] --> 1[""Feeling Hungry""]"
25,"flowchart LR
0[""StartNode""] --> 1[""Empty SAP Master Record Outbox""]
8[""Process Vendor Master Record Requests""] --> 9[""Place completed requests in Data Entry Officer Inbox""]
9 --> 10[""EndNode""]"
26,"flowchart LR
0[""StartNode""] --> 1[""Register event participation""]
2[""Register process seminar results""] --> 4[""Join""]
3[""Create purchase request""] --> 4
4 --> 5[""Purchase request approve?\n[Rejected/Approved]""]
5 --> |""Rejected""|6[""Notify rejection""]
5 --> |""Approved""|7[""Send approved notification""]
6 --> 8[""EndNode""]"
27,"flowchart LR
0[""StartNode""] --> 1[""Place an order""]
1 --> 2[""Verify customer""]
2 --> 3[""Customer okay?""]
3 --> |""Yes""|4[""Check availability""]
3 --> |""No""|5[""Create new customer""]
4 --> 7[""Product available?""]
5 --> 6[""Conclude process""]
7 --> |""Yes""|8[""Ship goods""]
7 --> |""No""|9[""Produce goods""]
8 --> 6
9 --> 6"
28,"flowchart LR
0[""StartNode""] --> 1[""Move to square (2,5)""]
1 --> 2[""Wait for message""]
2 --> 3[""Received all responses?""]
3 --> |""Yes""|4[""Process ends""]
3 --> |""No""|2"
29,"flowchart LR
0[""StartNode""] --> 1[""ForkNode""]
1 --> 2[""Obtain credit score""]
1 --> 3[""Get credit score""]
1 --> 4[""Check credit score""]
2 --> 5[""JoinNode""]
3 --> 5
4 --> 5"
30,"flowchart LR
3[""Document Bad Credit""] --> 4[""Inform Members (Suspend Orders)""]
6[""Update & Process Order""] --> 7[""Re-check Payment (D2)?""]
7 --> |""No""|3"
31,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ?""]
1 --> |""No""|2[""Ask for more information""]
1 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
4 --> 5[""Check RFQ verified?""]
5 --> |""No""|2
5 --> |""Yes""|6[""Provide verification""]
6 --> 7[""Add overhead costs and generate pricing options""]
11[""Generate sales quote""] --> 12[""EndNode""]"
32,"flowchart LR
0[""StartNode""] --> 1[""Bring computer to ACM and describe problem""]
2[""Receive estimate""] --> 3[""Evaluate estimate""]
3 --> |""Acceptable""|4[""Authorize repair""]
3 --> |""Unacceptable""|5[""Take computer back and end""]
4 --> 6[""Receive repair notice""]
6 --> 7[""Problem fixed?""]
7 --> |""Yes""|8[""Receive invoice/P/S document""]
8 --> 10[""Send payment""]
10 --> 11[""EndNode2""]"
33,"flowchart LR
0[""StartNode""] --> 1[""Analyze Goal Model""]
1 --> 2[""Analyze Business Process Models""]"
34,"flowchart LR
0[""StartNode""] --> 1[""Identify Vacancy""]
1 --> 2[""Manage Position Profile""]"
35,"flowchart LR
0[""StartNode""] --> 1[""Verify form structure""]
1 --> 2[""Form correct?""]
2 --> |""Yes""|3[""Verify proposal""]
2 --> |""No""|4[""Form error""]
3 --> 6[""Everything OK?""]
6 --> |""Yes""|7[""Process successful""]
6 --> |""No""|8[""Failure""]"
36,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check completeness""]
2 --> |""Incomplete""|3[""Send failure notice""]
2 --> |""Complete""|4[""Categorize customer""]
3 --> 8[""EndNode""]
4 --> 5[""Check completeness again""]
5 --> |""Incomplete""|3
5 --> |""Complete""|6[""Check insurance benefits""]
6 --> 7[""Finish contract""]
7 --> 8"
37,"flowchart LR
0[""StartNode""] --> 1[""Receive signed offer""]
1 --> 2[""Register acceptance of contract""]
1 --> 3[""Scan offer's billing information and pincodes""]
1 --> 4[""Competitor info available?""]
4 --> |""Yes""|5[""Register competitor's information""]
4 --> |""No""|6[""6""]
8[""Process the offer""] --> 9[""EndNode""]"
38,"flowchart LR
2[""Handle Individual Client's payment report""] --> 3[""Handle SSP's Accounts Receivable Department's payment report""]
3 --> 4[""Deal with the Registry's payment report""]"
39,"flowchart LR
0[""StartNode""] --> 1[""Execution begins""]
1 --> 2[""First execution?""]
2 --> |""Yes""|3[""Allocate actors arbitrarily""]
2 --> |""No""|4[""Allocate actors based on best known placement""]
3 --> 5[""Application executing?""]
4 --> 5
5 --> |""Yes""|6[""Application profiling""]
5 --> |""No""|7[""Process concludes""]
6 --> 8[""Better placement available?""]
8 --> |""Yes""|9[""Deploy new placement""]
8 --> |""No""|5
9 --> 5"
40,"flowchart LR
0[""StartNode""] --> 1[""Check number of panellists""]
1 --> 2[""ForkNode""]
2 --> 3[""Photocopy applications\nFocus on every complete application""]
2 --> 5[""Forward others to recruitment manager""]
3 --> 6[""JoinNode""]
5 --> 6
6 --> 7[""EndNode""]"
41,"flowchart LR
0[""StartNode""] --> 1[""Informational meeting""]
1 --> 2[""Meeting successful?""]
2 --> |""Yes""|3[""Storyboard meeting""]
2 --> |""No""|4[""EndNode""]
3 --> 5[""Content prepared?""]
5 --> |""No""|4
7[""Site has marketing view?""] --> |""No""|15[""Complete final version""]
11[""Marketing review approved?""] --> |""No""|4
13[""Continue building""] --> 14[""EndNode""]
15 --> 13"
42,"flowchart LR
0[""StartNode""] --> 1[""Receive RFQ""]
1 --> 2[""Verify RFQ (using Sales Guidelines)""]
4[""Produce L&M Cost Estimates""] --> 5[""EndNode""]
6[""Communicate with Customer""] --> 2"
43,flowchart LR
44,"flowchart LR
0[""StartNode""] --> 1[""Prepare TS""]
1 --> 2[""Create Development Plan""]
2 --> 3[""Development and Unit Testing""]
5[""Assembly Test""] --> 6[""Is solution accepted for testing?""]
6 --> |""Yes""|7[""EndNode""]
6 --> |""No""|3"
45,"flowchart LR
0[""StartNode""] --> 1[""Customer has a problem""]
1 --> 2[""Provide problem description""]
6[""Provide feedback to account manager""] --> 7[""EndNode""]
11[""Is it a 1st level issue?""] --> |""Yes""|12[""Ask developer""]
13[""Provide feedback to 1st level support and account manager""] --> 7"
