,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File results and expertise""]
1 --> 2
2 --> 3[""Create report""]
5[""Check expert responds in time""] --> |""Yes""|7[""Forward to referee""]
5 --> |""No""|6[""Ask for external expertise""]
7 --> 8[""Fill out check to pay for expenses""]"
1,"flowchart LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2[""Fees required?""]
2 --> |""No""|3[""Register post-seminar results""]
2 --> |""Yes""|4[""Create purchase request""]
4 --> 5[""Purchase approved?""]
5 --> |""No""|6[""Notify rejection""]
5 --> |""Yes""|7[""Send approval notification""]
7 --> 3"
2,"flowchart LR
0[""StartNode""] --> 1[""Accept item""]
1 --> 2[""Dairy""]
1 --> 3[""Other""]
1 --> 4[""Vegetable""]
2 --> 5[""Fruits""]
4 --> 7[""Vegetable Categorization""]
8[""Milk""] --> 10[""Non-perishable""]
9[""Cheese""] --> 10
10 --> 11[""Perishable""]
12[""Store items based on item policy""] --> 13[""EndNode""]"
3,"flowchart LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2[""Financial Impact""]
4[""Open EMS""] --> 5[""Contact Application Team""]
11[""Check if resolution is known""] --> |""YES""|12[""Fix issue""]
11 --> |""No""|14[""Check with vendor""]
12 --> 16[""Resolve and close EMS""]"
4,"flowchart LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
3[""Populate time forms""] --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
8[""Name form populated?""] --> |""No""|10[""Display incorrect time notification""]"
5,"flowchart LR
0[""StartNode""] --> 1[""Weekly (in time for discounts)""]
1 --> 2[""Pay invoices""]
2 --> 3[""Generate payment report""]
3 --> 4[""Send payment report to Accounts Receivable Department""]
3 --> 5[""Send payment report to registry""]
8[""Send out invoices""] --> 9[""EndNode""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]"
7,"flowchart LR
0[""StartNode""] --> 1[""Verify RFQ""]
5[""Is RFQ verified?""] --> |""No""|3[""Ask for more information""]
8[""Is RFQ verified?""] --> |""Yes""|9[""Add overhead costs""]
9 --> 10[""Generate pricing options""]
10 --> 11[""Generate sales quote""]
11 --> 12[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Data completeness?""]
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
3 --> 5[""Check reinsurance option""]
5 --> 6[""Finish contract""]
6 --> 7[""EndNode""]"
9,"flowchart LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> |""Yes""|3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 7[""Prepare salad for washing""]
5 --> 6[""Put pasta into water""]
7 --> 8[""Wash salad""]
8 --> 12[""Make dressing""]
9[""Prepare ingredients to make a sauce""] --> 10[""Make sauce""]
14[""Prepare dishes""] --> 15[""Bring meal to table""]
15 --> 16[""Finish lunch""]
16 --> 17[""EndNode""]"
