,0
0,"flowchart LR
0[""StartNode""] --> 1[""Interview Patients""]
0 --> 2[""File Results and Expertise""]
1 --> 3[""Create Report""]
2 --> 11[""Need External Expertise?""]
4[""Expert Responds in Time?""] --> |""Yes""|5[""Forward Report to Referee""]
4 --> |""No""|6[""Ask for External Expertise""]
5 --> 9[""Fill out Check for Expenses""]
7[""Expert Responds in Time?""] --> |""Yes""|5
7 --> |""No""|6
9 --> 10[""End Process""]
11 --> |""Yes""|6"
1,"flowchart LR
0[""StartNode""] --> 1[""Register Participation""]
1 --> 2[""Are fees required?""]
2 --> |""No""|3[""Register Post-Seminar Results""]
2 --> |""Yes""|4[""Create Purchase Request""]
3 --> 8[""EndNode""]
4 --> 5[""Check Purchase Approval""]
5 --> |""Approved""|6[""Send Approval Notification""]
5 --> |""Denied""|7[""Notify Rejection""]
6 --> 3
7 --> 8"
2,"flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
1 --> 4[""Fruits""]
3 --> 6[""Vegetable Categorization""]
4 --> 11[""Temperature Weight and Date Center""]
5[""Fruit Categorization""] --> 11
6 --> 11
7[""Milk""] --> 11
8[""Cheese""] --> 11
9[""Non-perishable""] --> 11
10[""Perishable""] --> 11
11 --> 12[""Store Items Based on Item Policy""]"
3,"flowchart LR
1[""Detect Incident""] --> 2[""Financial Impact?""]
2 --> |""YES""|3[""Open EMS""]
3 --> 5[""Contact Application Team""]
3 --> 6[""Contact SA Team""]
3 --> 7[""Contact DBA Team""]
3 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot Issue""]
9 --> 10[""Resolution Known?""]
10 --> |""YES""|11[""Fix Issue""]
10 --> |""NO""|12[""Check with Vendor""]
11 --> 15[""Resolve and Close EMS""]
12 --> 13[""Vendor has a Fix?""]
13 --> |""YES""|11
13 --> |""NO""|14[""Failover to COB""]"
4,"flowchart LR
1[""Open event creation page""] --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 8[""Is name form populated?""]
8 --> |""Yes""|10[""Does end time occur after start time?""]
8 --> |""No""|2
10 --> |""No""|11[""Display incorrect time notification""]
10 --> |""Yes""|12[""Save event information""]
11 --> 3"
5,"flowchart LR
0[""Weekly (in time for discounts)""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to Accounts Receivable Department""]
2 --> 4[""Send Payment Report to Registry""]
2 --> 5[""Generate monthly invoices""]
5 --> 6[""Charge client $35 per paid invoice""]
6 --> 7[""Send Out Invoices""]
7 --> 8[""End Process""]"
6,"flowchart LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 6[""Purpose of the order?""]
6 --> |""Replenish Inventory""|4[""Reserve Inventory""]
6 --> |""Confirm Order for Delivery""|5[""End Process""]"
7,"flowchart LR
1[""Verify RFQ""] --> 2[""Is RFQ verified?""]
2 --> |""No""|3[""Ask for more information""]
2 --> |""Yes""|4[""Analyze RFQ and provide L&M cost estimates""]
6[""Verify RFQ""] --> 7[""Is RFQ verified?""]
7 --> |""No""|3
7 --> |""Yes""|4
8[""Add overhead costs""] --> 9[""Generate pricing options""]
9 --> 10[""Generate sales quote""]
10 --> 11[""EndNode""]"
8,"flowchart LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2[""Check for completeness""]
2 --> 3[""Data complete?""]
3 --> |""Yes""|4[""Perform risk assessment""]
3 --> |""No""|5[""Send failure notice""]
7[""Check reinsurance option""] --> 8[""Finish contract""]
8 --> 6[""EndNode""]"
9,"flowchart LR
0[""Feel Hungry""] --> 1[""Decide to Cook""]
1 --> 2[""Choose Recipes""]
2 --> 3[""Prepare Ingredients""]
3 --> 4[""Prepare Water for Pasta""]
3 --> 5[""Prepare Salad for Washing""]
4 --> 6[""Put Pasta into Water""]
5 --> 7[""Wash Salad""]
6 --> 8[""Prepare Ingredients for Sauce""]
7 --> 10[""Prepare Ingredients for Dressing""]
8 --> 9[""Make Sauce""]
9 --> 12[""Bring Dishes to Table""]
10 --> 11[""Make Dressing""]
11 --> 12
12 --> 13[""Prepare Dishes""]
13 --> 14[""Bring Meal to Table""]
14 --> 15[""Finish Lunch""]"
10,"flowchart LR
1[""Customer encounters a problem""] --> 2[""Obtain detailed description of the problem""]
2 --> 3[""Can I handle the problem myself?""]
3 --> |""Yes""|4[""Explain the solution""]
3 --> |""No""|5[""Send email to support system""]
5 --> 6[""Can I handle the problem myself?""]
5 --> 8[""Wait for answer to be received""]
6 --> |""Yes""|4
6 --> |""No""|9[""Send another email to support system""]
8 --> 4"
11,"flowchart LR
0[""Complete Purchase Order""] --> 1[""Send Invoice""]
0 --> 2[""Send Goods""]
1 --> 3[""Process Concludes""]
2 --> 3"
12,"flowchart LR
1[""Prepare Shipment Order""] --> 2[""Send Shipment Order""]
2 --> 3[""Carrier Response""]
3 --> |""Yes""|5[""Accept Shipment Order""]
3 --> |""No""|7[""End (Link A: Acquisition of carriers)""]
5 --> 6[""Acceptance Response""]
6 --> |""No""|7
6 --> |""Yes""|8[""Realize Ordered Shipment""]"
